Year(Release_Date),Developer,Count(*)
2008,"Spiderweb Software",1
2008,"SpinTop Games",2
2008,"Synergy Team",1
2008,"Tale Worlds",2
2008,"TaleWorlds Entertainment",2
2008,"Team Chivalry",1
2008,Techland,1
2008,"Telltale Games",8
2008,"Tilted Mill Entertainment, Inc.",5
2008,"Traveller's Tales",1
2008,Treyarch,1
2008,Ubisoft,13
2008,"Ubisoft Blue Byte Studio",2
2008,"Ubisoft Bulgaria",1
2008,"Ubisoft Montpellier",1
2008,"Ubisoft Montreal",7
2008,"Ubisoft Romania",2
2008,Valve,2
2008,"Virtual Playground",1
2008,Zemnott,4
2008,"Zombie Panic Team",1
2009,"14° East",2
2009,"1C Company",5
2009,1C-SoftClub,1
2009,1C:InoCo,9
2009,2DEngine.com,1
2009,3000AD,6
2009,"49 Games",1
2009,"4Head Studios",1
2009,"8monkey Labs",2
2009,"ACE Team",2
2009,"Aliasworlds Entertainment",1
2009,"AllAboardRails / JustTrains",4
2009,"Amanita Design",4
2009,"Animation Arts",2
2009,"Apus Software",1
2009,"Arcen Games, LLC",2
2009,ArenaNet®,4
2009,"Artech Studios",1
2009,"Ascaron Entertainment ltd.",1
2009,"Asobo Studio SARL",1
2009,"Aspyr (Mac)",8
2009,"Aspyr Studios",2
2009,"Basilisk Games",2
2009,"BattleGoat Studios",1
2009,"Best Way",3
2009,"Bethesda Game Studios",2
2009,"Bethesda Game Studios®",1
2009,"Big Splash Games, LLC",1
2009,BioWare,3
2009,"BioWare Corporation",1
2009,"Black Isle Studios",2
2009,"Black Jacket Studios",2
2009,"Black Sea Studios Ltd",1
2009,"Blue Byte",2
2009,"Blue Fang",2
2009,"Blue Omega Entertainment",1
2009,"Bohemia Interactive",4
2009,"BreakAway Games",2
2009,"Broken Rules",2
2009,Capcom,6
2009,"CD Projekt RED  ",1
2009,"Certain Affinity™",3
2009,"Citeremis Inc.",1
2009,"City Interactive",3
2009,"Codemasters Studios",2
2009,"Criterion Games",1
2009,Croteam,2
2009,"Crystal Empire Games",1
2009,Cyberlore,1
2009,"Darkest Hour Team",1
2009,"Darklight Games",1
2009,"Deadline Games",3
2009,"Deck 13",2
2009,"Deep Red Limited",1
2009,"Defence Alliance Team",1
2009,"Dejobaan Games, LLC",1
2009,"Dekovir Entertainment",1
2009,DICE,3
2009,DiezelPower,2
2009,"Digital Eel",1
2009,"Digital Extremes",1
2009,"DnS Development",4
2009,"Dovetail Games",10
2009,"Dream Forge Entertainment, LLC",1
2009,"Dystopia Team",2
2009,"EA - Maxis",1
2009,"EA Los Angeles",9
2009,"EA Redwood Shores",1
2009,"Edmund McMillen and Florian Himsl",1
2009,"Eidos Studio Hungary",2
2009,Eipix,1
2009,Elecorn,2
