Year(Release_Date),Developer,Count(*)
2013,"Mine Loader Software Co., Ltd.",10
2013,"Minor Key Games",1
2013,"Minority Media Inc.",2
2013,Mixamo,3
2013,"Modern Dream",2
2013,"Monochrome LLC",2
2013,"Monochrome, Inc",2
2013,"Most Wanted Entertainment",1
2013,Mousechief,1
2013,"MR-Software GbR",1
2013,MumboJumbo,2
2013,"N3V Games",6
2013,Nadeo,8
2013,NAMCO,1
2013,"NAMCO BANDAI Games",1
2013,"Neko Entertainment",2
2013,NeocoreGames,4
2013,"NetherRealm Studios",3
2013,"Nevigo GmbH",3
2013,Nexon,1
2013,"NEXON CO., Ltd.",2
2013,"nFusion Interactive",1
2013,"NGD Studios",2
2013,"Nifflas' Games",1
2013,NIGORO,2
2013,"Nihon Falcom",2
2013,"Ninja Theory",9
2013,Nival,10
2013,"No More Room in Hell Team",1
2013,"Nocturnal works",1
2013,"Nomad Games",1
2013,"Nomad Games Limited",1
2013,"North of Earth",1
2013,"Noumena Studios",2
2013,"Ntronium Games",1
2013,"Old School Games",2
2013,"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",1
2013,"Oovee Entertainment",2
2013,"Oovee Games Studios",2
2013,"Oovee® Game Studios",4
2013,"Orthogonal Games",1
2013,"Out of the Park Developments",1
2013,"Over the Top Games",1
2013,"Overhaul Games",1
2013,"OVERKILL - a Starbreeze Studio.",12
2013,"Owlchemy Labs",1
2013,"Paradox Development Studio",31
2013,"Paradox Interactive",2
2013,"Paradox North",1
2013,"Pete Gillam",2
2013,"Petit Depotto",1
2013,"Phobic Studios",1
2013,"Phoenix Online Studios",1
2013,"Phosphor Games",1
2013,"Phosphor Games Studio",1
2013,"Phr00t's Software",2
2013,"Pieces Interactive",5
2013,"Platine Dispositif",1
2013,PLAY,2
2013,"Playstos Entertainment",2
2013,"PlayWay S.A.",5
2013,"Pocketwatch Games",1
2013,"Point Five Projects",2
2013,"PolyPusher Studios",1
2013,"Polytron Corporation",1
2013,"Poppermost Productions",2
2013,"Positech Games",2
2013,"Priority Interrupt",1
2013,ProjectorGames,1
2013,"Promotion Software",1
2013,Puppygames,2
2013,"PV Games",1
2013,"Pwnee Studios",1
2013,"Q-Games. Ltd",4
2013,"QCF Design",3
2013,Quadriga,1
2013,"Quadro Delta",1
2013,"Quantic Dream",1
2013,"Radial Games Corp",1
2013,RailSimulator.com,97
2013,"Rain Games",2
2013,"Reality Pump",1
2013,"Reality Pump Studios",2
2013,"Realmforge Studios",3
2013,Rebellion,2
2013,"Recoil Games",1
2013,"Red Barrels",1
2013,"Red Dot Games",2
2013,"RED DUCK Inc.",4
2013,"Red Storm Entertainment",2
2013,"Redlynx Ltd",2
2013,"Relic Entertainment",71
2013,"Reloaded Productions",2
2013,"Remar Games",1
2013,"Remedy Entertainment",1
2013,"Renegade Kid",1
2013,"Reppo (Ricardo Rivera)",2
2013,"Reptile Games",1
2013,"Reverie World Studios",2
2013,"Reverie World Studios, INC",2
2013,"Revolution Software Ltd",1
2013,"Richard Perrin",1
2013,"Rising Star Games",1
2013,"Rising Storm Team",2
2013,"Rockstar Studios",1
2013,"Roman Syrovatka",1
2013,"Ronimo Games",30
2013,"Rovio Entertainment Ltd",1
2013,RuneStorm,2
2013,"Running With Scissors",2
2013,"Saibot Studios",2
2013,"Sandswept Studios",1
2013,"Santa Ragione",1
2013,"Sauropod Studio",1
2013,"Scientifically Proven",2
2013,Scirra,1
2013,"Screwfly Studios",1
2013,"SCS Software",8
2013,"Sean Hogan and Jonathan Kittaka",1
2013,"Sean HTCH and Joni Kittaka",1
2013,"Sector3 Studios",2
2013,"SeeThrough Studios",1
2013,"SEGA Studios Australia",1
2013,ShadowShifters,1
2013,"Shiro Games",1
2013,"Sidhe Interactive",1
2013,"SimBin Studios AB",2
2013,"Simon Roth",2
2013,Sir-Tech,2
2013,"Sir-Tech Canada",1
2013,"Size Five Games",1
2013,Skybox,1
2013,"Skybox Labs",2
2013,SkyGoblin,2
2013,SmokeBox,2
2013,"SNK Games",2
2013,"SNK Playmore",2
2013,"Snowbird Games",2
2013,"Songquito UG",4
2013,"Sony Online Entertainment",6
2013,"Sony Online Entertainment, LLC.",2
2013,"Soulid Studio",1
2013,Southend,3
2013,"Space Budgie",1
2013,"Spark Unlimited",11
2013,sparsevector,1
2013,"Spearhead Games",1
2013,Spellbound,1
2013,"Sperasoft, Inc.",4
2013,"Spicy Horse",1
2013,Spiders,2
2013,"Spiderweb Software",1
2013,SpikySnail,1
2013,"Spiral House",1
2013,"Splash Damage",3
2013,"Sports Interactive",1
2013,Spotkin,1
2013,Squad,1
2013,"Square Enix",3
2013,"Stainless Games",44
2013,"Star Gem Inc.",10
2013,Starbreeze,1
2013,"Starbreeze Studios AB",1
2013,"Stardock Entertainment",15
2013,"StarQuail Games",1
2013,Stoic,5
2013,Storybird,1
2013,"Studio Bean",2
2013,"Studio Evil",1
2013,"Studio Fizbin",1
2013,"Studio V5",1
2013,"Studio X Labs",1
2013,"Stygian Software",1
2013,"Subatomic Studios LLC",1
2013,"Subterranean Games",1
2013,"Sumo Digital",4
2013,"Sunstorm Interactive, 3D Realms",1
2013,"Suspicious Developments",2
2013,"Swing Swing Submarine",3
2013,"Tale of Tales",1
2013,"Tate Multimedia",3
2013,"Team Psykskallar",1
2013,"Team Reptile",1
2013,"Team17 Digital Ltd",7
2013,"Team17 Digital Ltd.",2
2013,"Team17 Software Ltd.",3
2013,Team2Bit,1
2013,Techland,5
2013,Teknopants,1
2013,"Telltale Games",3
2013,"Terminal Reality, Inc.",2
2013,"Test3 Projects",2
2013,"The Binary Mill",1
2013,"The Bitmap Brothers",1
2013,"The Chinese Room",1
2013,"The Collective",1
2013,"The Farm 51",18
2013,"The Foundry",2
2013,"The Fullbright Company",1
2013,"The Fun Pimps",1
2013,"The Indie Stone",1
2013,"The Men Who Wear Many Hats",1
2013,"The Sims Studio",5
2013,"The Story Mechanics",1
2013,"The Tiniest Shark",1
2013,"The Writer Zone",1
2013,"Thomson Interactive",2
2013,Threaks,2
2013,"Three Donkeys LLC",1
2013,"Three Gates",1
2013,"Tiger Style",1
2013,tinyBuild,1
2013,"TML Studios",1
2013,"Toontraxx Studios",1
2013,Topware,1
2013,"Topware Interactive",1
2013,TORaIKI,4
2013,"Torn Banner Studios",1
2013,"Torus Games",1
2013,"Toxic Games",2
2013,"Transhuman Design",1
2013,"Traveller's Tales",2
2013,Treexy,1
2013,Treyarch,37
2013,"Trilobyte Games",2
2013,"Trion Worlds",9
2013,"Trion Worlds, Inc.",1
2013,Triple.B.Titles,1
2013,"Tripwire Interactive",7
2013,"Troxit Service",1
2013,"Turbine, Inc",1
2013,"Turbine, Inc.",4
2013,"Twisted Pixel Games",1
2013,"Two Tribes",1
2013,"Ty Taylor and Mario Castañeda",1
2013,"U.S. Army",2
2013,"Uber Entertainment",1
2013,"Ubisoft  Shanghaï",2
2013,"Ubisoft - San Francisco",121
2013,"Ubisoft Montreal",9
2013,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",1
2013,"Ubisoft Paris",2
2013,"Ubisoft Quebec",3
2013,"Ubisoft Toronto",3
2013,"Undead Labs",3
2013,"United Front Games",5
2013,"United Independent Entertainment GmbH",8
2013,"United Soft Media",1
2013,"Upper Byte Studio",1
2013,Valve,1
2013,"Vertigo Gaming",1
2013,"Vertigo Gaming Inc.",1
2013,"Victory Works",2
2013,"Virtual Programming (Linux)",4
2013,virtualRailroads,2
2013,Virtuos,3
2013,"Visual Concepts",1
2013,"Vitali Kirpu",1
2013,"Vivid Games",1
2013,Vlambeer,1
2013,VStep,1
2013,"Wales Interactive",3
2013,"Waterlily Games",1
2013,WayForward,3
2013,"WB Games Montreal",3
2013,WEBZEN,1
2013,"Wild Games Studio",2
2013,WildTangent,1
2013,"Witch Beam",3
2013,"Wolfire Games",1
2013,"Worthless Bums",1
2013,"Xtal Sword",1
2013,"XYLA Entertainment",1
2013,"YoYo Games Ltd.",2
2013,Zachtronics,2
2013,"Zeal Game Studio",1
2013,"Zeboyd Games",1
2013,"Zen Studios",19
2013,"Zeolite Studios Inc.",1
2013,"Zeptolab UK Limited",1
2013,"Zero Point Software",2
2013,"Zero Sum Games",1
2013,"Zoink Games",1
2013,Zoink!,1
2013,"Zombie Studios",9
2013,Zootfly,1
2013,Zynga,1
2013,"][ Games Inc",1
2014,"10th Art Studio",1
2014,"10tons Ltd",1
2014,"11 bit studios",2
2014,"1C Company",6
2014,"1C Game Studios",1
2014,"1C Wireless",2
2014,1C-SoftClub,2
2014,"251 Games",1
2014,2DEngine,2
2014,"2K Australia",6
2014,"3 Sprockets",2
2014,"30.06 Studios Ltd",1
2014,3000AD,8
2014,"343 Industries",2
2014,"3D Realms",1
2014,"3D Realms (Apogee Software)",13
2014,"3f Interactive",4
2014,"48h Studio",1
2014,"4A GAMES",4
2014,4gency,1
2014,"4HEAD Studios",1
2014,"5 Bits Games",1
2014,6955,1
2014,773,1
2014,"777 Studios",3
2014,"8-Bit Studio",1
2014,"800 North and Digital Ranch",1
2014,88mm,2
2014,"9heads Game Studios",4
2014,"?? (Meng Ye)",2
2014,??????????,2
2014,????A,1
2014,@unepic_fran,1
2014,"A Jolly Corpse",1
2014,"AAD Productions",1
2014,"Aardman Animations",1
2014,"Aaron Dordi",1
2014,"Aartform Games",1
2014,"Above and Beyond Technologies",1
2014,Abstraction,1
2014,"Abstraction Games",2
2014,"Access Software",5
2014,Accolade,1
2014,"Accolade, Inc",1
2014,"Accolade, Inc.",3
2014,"ACE Team",3
2014,"Acid Wizard Studio",1
2014,Actalogic,2
2014,"Actoz Soft",7
2014,"Actual Tools",1
2014,"Adam Saltsman",1
2014,"Adam Spragg",2
2014,"Adhesive Games",3
2014,"Adventure Planning Service",2
2014,"Adventure Productions",1
2014,AdventurePlanningService,1
2014,"Adventurepro Games LLC",2
2014,"Aerosoft GmbH",3
2014,Ageod,7
2014,AHEARTFULOFGAMES,1
2014,"Airtight Games",2
2014,Akella,2
2014,"Alan Edwardes",1
2014,"Alan Hazelden",1
2014,"Alan Zucconi",1
2014,"Alastair John Jack",1
2014,Alawar,9
2014,"Alawar Entertainment",4
2014,"Aldorlea Games",7
2014,"Alex Quick",1
2014,"Alexander Poysky",1
2014,"Alfred Lam",1
2014,"ALICE IN DISSONANCE",2
2014,Alientrap,1
2014,Alkemi,2
2014,Allegorithmic,5
2014,"Alligator Pit",1
2014,"ALLPlayer Group Ltd.",2
2014,"Almost Human Games",1
2014,"alpha six productions",3
2014,AlphaNuts,2
2014,"Altar Games",2
2014,"ALTAR Interactive",4
2014,"Alternative Software Ltd",2
2014,"Amaranth Games, LLC",4
2014,Amaze,1
2014,"Amazing Atom",1
2014,"AMPLITUDE Studios",4
2014,"Andre Chagas Silva",1
2014,"Andy Wallace",1
2014,"Angry Engineers Entertainment",1
2014,"Angry Mob Games",1
2014,"Animation F/X",1
2014,Ankama,1
2014,"Ankama Studio",8
2014,"Anne Mönkkönen",1
2014,"Ansimuz Games",1
2014,"Antanas Marcelionis",1
2014,"Anthony Case",3
2014,"Anthony Septim",1
2014,"Antonio Carcagnì",1
2014,Anuman,22
2014,"Anuman Interactive",4
2014,Apeiron,4
2014,"Aperture Tag Team",1
2014,app2fun,4
2014,"Apparition Games",1
2014,Appmania,2
2014,Appmania/i-Free,2
2014,"Arberth Studios",1
2014,"Arc System Works",4
2014,"Arc System Works Co., Ltd.",4
2014,"Arcen Games, LLC",4
2014,Archeia,1
2014,"Archetype Global",3
2014,"Arctic Anteater",1
2014,"Argo Games",1
2014,"Arkavi Studios",1
2014,Arkedo,1
2014,"Armature Studio",1
2014,"Arrowhead Game Studios",3
2014,Artaani,1
2014,Artdink,1
2014,"Artefacts Studio",2
2014,"Artem Kotov",4
2014,"Artery Games",3
2014,"Artifex Mundi",20
2014,"Artifex Mundi sp. z o.o.",18
2014,Artnumeris,1
2014,"Asobo Studio",1
2014,"Aspyr (Mac & Linux)",8
2014,"Aspyr (Mac and Linux)",2
2014,"Aspyr (Mac)",2
2014,"Aspyr (Mac, Linux)",2
2014,"Aspyr (Mac,Linux)",1
2014,"Astral Byte",3
2014,"ASTRO PORT",1
2014,Atapki,1
2014,"attic Entertainment Software GmbH",3
2014,"Attract Mode Games",1
2014,Autodesk,3
2014,"Autumn Moon",1
2014,"Avalanche Software",4
2014,"Avalanche Studios",4
2014,"Avatar Creations",2
2014,"Avidly Wild Games",2
2014,"Awesome Games Studio",3
2014,AwesomeBlade,2
2014,"Awoker Games",1
2014,"Axe Eel Games",1
2014,"Axis Game Factory",3
2014,"Axyos Games",1
2014,b-Alive,1
2014,"b-alive gmbh",10
2014,B-evil,2
2014,"Backstab Games",1
2014,"Bacon Bandit Games",2
2014,"Bad Games",1
2014,"BadFly Interactive, a.s.",2
2014,"Badland Studio",1
2014,"BANDAI NAMCO Studio Inc.",2
2014,"Bane Games",1
2014,"Barbara Bode",2
2014,"Basilisk Games",2
2014,"Bat Country Games, LLC",1
2014,"Batterystaple Games",1
2014,"BattleGoat Studios",3
2014,Beamdog,1
2014,"Beavis Soft",1
2014,"Bedtime Digital Games",2
2014,Beenox,7
2014,"Behaviour Interactive",2
2014,Belsimtek,1
2014,"Benjamin Bryant",1
2014,"Bernt Andreas Eide",1
2014,"Berserk Games",1
2014,"Best Way",2
2014,BetaDwarf,3
2014,BetaSparkUK,1
2014,"Biart Company LLC",4
2014,Bibiki,1
2014,"Big Ant Studios",4
2014,"Big Finish Games",4
2014,"Big Head Games",1
2014,"Big Huge Games",1
2014,"Big Pixel Studios",1
2014,"Big Robot Ltd",1
2014,"BigBlaze Games",1
2014,bignic,1
2014,"bignic - Dolphin Barn",1
2014,"Bill and Eli Productions",2
2014,"Binary Helix",1
2014,"Binary Takeover",1
2014,"Bit Planet Games, LLC",1
2014,"Bitbox Ltd.",1
2014,"BitMonster, Inc.",2
2014,"bitSmith Games",1
2014,"Black Cactus",2
2014,"Black Curtain Studio",1
2014,"Black Forest Games",2
2014,"Black Pants Studio",1
2014,"Black Rock Studio",2
2014,"Black Shell Games",2
2014,"Black Wing Foundation",4
2014,"BlackMoon Design",1
2014,"Blackpowder Games",3
2014,blamedrop,1
2014,BlankMediaGames,1
2014,"Blind Mind Studios",1
2014,"Blind Squirrel Games",1
2014,"Bloober Team",1
2014,"Bloober Team SA",1
2014,"BluBee Games",2
2014,"Blue Bottle Games",1
2014,"Blue Byte",7
2014,"Blue Isle Studios",1
2014,"Blue Label Studio",1
2014,"Blue Mammoth Games",1
2014,"Bluebutton Games",1
2014,"Bluehole Inc.",1
2014,"Bluehole Studio",1
2014,"BlueLine Games",6
2014,Bluestrike,1
2014,"Bohemia Interactive",6
2014,"Bohemia Interactive Studio",2
2014,"Bojan Brbora",2
2014,"Bombdog Studios",2
2014,Boneloaf,1
2014,"Bongfish GmbH",2
2014,"Boolat Games",1
2014,"Born Ready Games",1
2014,"Bossa Studios",1
2014,"Brace Yourself Games",3
2014,"Brain Bombers",1
2014,"Brainbox Games",1
2014,"Bram Ruiter",7
2014,"Brandon Brizzi",1
2014,BrashMonkey,1
2014,"Brave Giant LTD",1
2014,Breakfall,3
2014,"Bretwalda Games",2
2014,"Brightside Games",1
2014,"Brilliant Skies Ltd.",1
2014,"Broken Rules",3
2014,"Browny Application",1
2014,Brytenwalda,1
2014,"BS1 & BSL Team",2
2014,Bugbear,2
2014,"Bulwark Studios",1
2014,bumblebee.,1
2014,BumpkinBrothers,2
2014,"Burian Media Enterprises",2
2014,"Burut CT",1
2014,"Bytes of Learning",1
2014,"Byzantine Games",1
2014,Cakewalk,21
2014,"Calum Bowen",1
2014,"Can Explode",1
2014,"Candescent Games, Inc",1
2014,candyrocketstudio,2
2014,Capcom,23
2014,"Capcom Game Studio Vancouver",1
2014,"Cape Copenhagen",2
2014,"Capybara Games",3
2014,Carenado,9
2014,"Carlo D'Apostoli Projects",2
2014,"Carlos Coronado",2
2014,"Case in Point Studios, LLC",1
2014,"Castle Pixel, LLC.",2
2014,"Casual Brothers",1
2014,"Cateia Games",14
2014,Cauldron,1
2014,"Causal Bit Games Inc.",1
2014,"CBE software s.r.o.",4
2014,CCG,2
2014,CCP,8
2014,"CD PROJEKT RED",1
2014,"Celestial Games",1
2014,Celianna,1
2014,"Celsius Game Studios",1
2014,"Centauri Production",1
2014,"Ceri Williams",2
2014,"Chainsawesome Games",2
2014,"Chaosoft Games",1
2014,"Chasing Carrots",1
2014,"Cherry Pop Games",7
2014,ChessBase,3
2014,"Chicken in The Corn",1
2014,"Childish Things",2
2014,"Choice of Games",22
2014,"Chris Sawyer Productions",2
2014,"Christopher Hoag",1
2014,"Chromatic Dream",1
2014,"Chronic Logic",3
2014,"CI Games",8
2014,Cinemaware,2
2014,"Ciprian Stanciu",3
2014,"Claudio Norori",1
2014,"Clickteam LLC",1
2014,"Cliffhanger Productions",5
2014,"Climax Studios",1
2014,ClockStone,2
2014,"Cloud 9 Studio",2
2014,CMI,1
2014,Coatsink,1
2014,"Cobra Mobile",2
2014,"Cockroach Inc.",1
2014,"Code Avarice",1
2014,"Code Force",1
2014,"Code Mystics",1
2014,"CodeBrush Games",2
2014,Codeglue,1
2014,CodeHatch,1
2014,Codemasters,3
2014,"Codemasters Digital",1
2014,"Codemasters Racing",12
2014,Code}{atch,1
2014,"Coffee Stain Studios",4
2014,Coilworks,3
2014,"Cold Beam Games",1
2014,"Colin Northway",1
2014,"Colonthree Enterprises",1
2014,"Colorful Media",2
2014,"Colossal Games",2
2014,"Colossal Order Ltd.",6
2014,"comcept Inc.",2
2014,"ComiPo! LLP",7
2014,"Common Dreams Media",2
2014,"Commotion Games Pty Ltd",1
2014,Computerhouse,1
2014,"Concave Studio",2
2014,"Condition One",1
2014,"Confused Pelican",1
2014,"Conrad Nelson",1
2014,Copybugpaste,2
2014,Coreplay,2
2014,"Corncrow Games",2
2014,CorypheeSoft,1
2014,"Cosmic Cow LLC",1
2014,"Crafty Studios",4
2014,"Cranberry Production",5
2014,"Crazy Moo Games",2
2014,Creability,1
2014,"Creat Studio",2
2014,"Creative Assembly",19
2014,"CreativeForge Games",2
2014,"Crenetic GmbH Studios",1
2014,Creobit,2
2014,Creoteam,1
2014,"Crimson Cow",1
2014,CrioLand,2
2014,"Cross Eaglet",1
2014,Cross-Product,1
2014,Croteam,6
2014,"Crunching Koalas",1
2014,"Cryptic Studios",7
2014,"Crystal Dynamics",1
2014,"Crystal Shard",1
2014,Crytek,12
2014,"Cubic Pie",1
2014,"Culture Attack Studio",1
2014,"Curious Panda Games",2
2014,"Curve Studios",1
2014,"Cuve Games",2
2014,Cyan,1
2014,Cyanide,5
2014,"Cyanide Studio",3
2014,"Cyanide Studios",1
2014,"CyberConnect2 Co., Ltd.",11
2014,"Cyberlore Studios, Inc.",1
2014,"Cygnus Studios",1
2014,"Cypress Inheritance LLC",2
2014,d3t,2
2014,"Daedalic Entertainment",8
2014,DAIKON,1
2014,Damaged,2
2014,"Damian Sommer",1
2014,"Dan  Walters",2
2014,"Dan Walters",4
2014,"Dancing Dinosaur Games",1
2014,"Dancing Dragon Games",3
2014,"Dani Navarro",2
2014,"Daniel Gill",1
2014,"Daniel Linssen",2
2014,"Daniel Oliveira Carneiro",7
2014,"Darius Bode",3
2014,"Dark Gaia Studios",3
2014,"Dark Seas Interactive",2
2014,"Dark Vale Games",1
2014,DarkElite,2
2014,"darkForge Games LLC",1
2014,DarkGod,1
2014,"Darkling Room",1
2014,Darkraven,2
2014,"Dave Gedarovich",1
2014,"David Amador",1
2014,"David Hensley",1
2014,"David OReilly",1
2014,"David Szymanski",2
2014,"David Teruel",1
2014,"Davide Caio",1
2014,"Daybreak Game  Company",1
2014,"Daybreak Game Company",15
2014,"Dead Mage",1
2014,"Dead Shark Triplepunch",1
2014,"Deadbreed AB",6
2014,"Deadghost Interactive",2
2014,"Deadly Red Cube",1
2014,"Decaying Logic",4
2014,"Deck 13",7
2014,"Deck 13 Hamburg",2
2014,"Deck13 Hamburg",2
2014,Deconstructeam,2
2014,"Deep Silver Volition",9
2014,"Defiant Development",1
2014,"Defrost Games",1
2014,Degica,25
2014,"Deirdra Kiai Productions",3
2014,"Dejobaan Games, LLC",3
2014,"Dekovir Entertainment",1
2014,"Demon Wagon Studios",2
2014,"Denys Ovsiannykov",1
2014,"Desert Owl Games LLC",1
2014,"DEZ Studio",1
2014,"Dharker Studio",3
2014,"Die Gute Fabrik",1
2014,"Diego Acevedo",1
2014,"Dietrich Squinkifer",2
2014,"Different Tuna",1
2014,"Diffusional Arts",1
2014,"Digerati Distribution",1
2014,"DigiFX Interactive",1
2014,"Digital Confectioners",3
2014,"Digital Eel",1
2014,"Digital Furnace Games",2
2014,"Digital Fusion",1
2014,"Digital Happiness",5
2014,"Digital Homicide Studios",3
2014,"Digital Leisure Inc.",1
2014,"Digital Phoenix",2
2014,"Digital Sound Factory",22
2014,"Digital Tentacle",2
2014,"Digital Train Model (Mannu Pach)",2
2014,"DigitalDNA Games LLC",2
2014,Digitalmindsoft,5
2014,DigitalTrainModel,2
2014,DigitalWorldEntertainment,1
2014,Dingaling,1
2014,"Dinosaur Polo Club",1
2014,"Dirigo Games",1
2014,"Disney Interactive",2
2014,"Dlala Studios",1
2014,"DMD Enterprise",1
2014,"Dodge Roll",1
2014,"Doppler Interactive",1
2014,"Doragon Entertainment",1
2014,DotEmu,3
2014,"DotEmu SAS.",1
2014,"Double Action Factory",1
2014,"Double Eleven",2
2014,"Double Fine Productions",9
2014,"Double Helix Games",2
2014,"DoubleBear Productions",2
2014,"DoubleDutch Games",3
2014,"Dovetail Games",89
2014,"Dovetail Games - Trains",6
2014,"DQ Team",2
2014,"DR Studios",1
2014,"Dr. Kimberly Voll",1
2014,"Dracue, Co. ltd",1
2014,DragonSix,2
2014,"Drakkar Dev",1
2014,"Dreadlocks Ltd.",1
2014,"Dream Up",1
2014,Dreamatrix,1
2014,"DreamForge Intertainment",1
2014,"Dreampainters Software",1
2014,Dreamworlds,1
2014,"DrinkBox Studios",2
2014,Droqen,1
2014,"dtp Entertainment",5
2014,"Duaik Entretenimento",2
2014,Duelboot,2
2014,Dugan,1
2014,"Dumb and Fat Games",1
2014,DVS,2
2014,"Dykast Lubomir",2
2014,"Dylan Loney",1
2014,"Dynamic Games",1
2014,"E&Z Studio",1
2014,"E-Line Media",2
2014,"Eagle Dynamics",5
2014,"Earthworm Games",1
2014,"Easy Co",1
2014,"Eclipse Games",2
2014,"Eddy & Gary & Friends",2
2014,Edelweiss,3
2014,"Edge Case Games Ltd.",1
2014,"Edge of Reality",10
2014,"Edmund McMillen",1
2014,"Edward Kozadaev",1
2014,Egosoft,2
2014,Eidos-Montréal,5
2014,"EKO Software",7
2014,"Elder Games",5
2014,"Eldon Harris",6
2014,"Electric Cafe",1
2014,"Electric Eggplant",1
2014,electrolyte,2
2014,Elefantopia,1
2014,"Elias Viglione",7
2014,"Elijah Mills",1
2014,"Elijah Newman-Gomez",1
2014,"Elliptic Games",3
2014,Emagica,2
2014,"Emily Carroll",1
2014,"En Masse Entertainment",12
2014,"Endless Loop Studios",1
2014,"Endnight Games Ltd",2
2014,Enitvare,1
2014,"Ennoble Studios",1
2014,"Ensemble Studios",2
2014,"Enter Skies",1
2014,Enterbrain,3
2014,"Entheogen Studios LLC",1
2014,"Entrada Interactive LLC",1
2014,"EnV Music",1
2014,"Epic MegaGames",1
2014,"Epic Quest  Games",2
2014,"Epiphany Games",4
2014,Epixx.org,1
2014,"Eric Provan - Ayyo Games",2
2014,"Erik Asmussen",2
2014,"Escape Hatch Entertainment, LLC",1
2014,"Essence Ltd.",1
2014,"Étienne Périn",1
2014,"Etranges Libellules Studios",1
2014,"Eugen Systems",4
2014,Eurocom,2
2014,Eutechnyx,26
2014,Eversim,8
2014,EVGA,1
2014,"Evil Twin Artworks",1
2014,"Evilized Productions",1
2014,"Evolutionary Games",2
2014,"Exato Games Studio",3
2014,Excalibur,8
2014,"Excalibur Publishing",1
2014,"Exe Games Inc.",2
2014,Exkee,5
2014,"Exor Studios",1
2014,"exosyphen studios",5
2014,"Expansive Worlds",4
2014,"Experimental Gamer Studios",1
2014,"Extend Studio",3
2014,EXTREME,2
2014,"Extreme Reality",1
2014,"Fabio Ferrara",3
2014,"Factus Games",2
2014,"Failbetter Games",1
2014,"Fakt Software",2
2014,"FAKT Software Gmbh",1
2014,"Fancy Bytes, Reactor",2
2014,"Faravid Interactive",1
2014,"FarSight Studios",2
2014,"Farsky Interactive",2
2014,Fatshark,7
2014,"Faultline Games",2
2014,Fayju,1
2014,"Feral Interactive (Linux)",33
2014,"Feral Interactive (Mac)",52
2014,"Filament Games",1
2014,"Final Boss Entertainment",2
2014,"FiolaSoft Studio",1
2014,"Firaxis Games",3
2014,"Firebase Industries Ltd.",1
2014,"FireFly Studios",2
2014,"Fireproof Games",1
2014,"Fish Factory Games",2
2014,"Fistful of Frags Team",1
2014,"Five Archers Games",1
2014,"FIX Games",2
2014,"Fixpoint Productions Ltd.",2
2014,"Flashback Games",13
2014,"Flat Earth Games",2
2014,"Flat Software",1
2014,Fledermaus,1
2014,"Flow Combine",3
2014,"Flox Studios Ltd.",1
2014,"Flump Studios",1
2014,"Fly System",1
2014,"Flying Wild Hog",2
2014,"FobTi interactive",1
2014,"Forbes  Consult Ltd",12
2014,"Forbes Consult Ltd",2
2014,"Force Of Habit",1
2014,"Forever Entertainment S. A.",11
2014,"Forge Reply srl",1
2014,"Four Circle Interactive",2
2014,"Four Lights",2
2014,"Fragment Production Ltd",2
2014,"FrameLineNetwork Kft.",1
2014,"Francisco Téllez de Meneses",1
2014,"Fred Wood",1
2014,"Free Lives",2
2014,"Freebird Games",2
2014,"Freedom Factory",4
2014,Freegamer,2
2014,"Freehold Games",2
2014,Freejam,1
2014,Fresh3D,2
2014,"Frima Studio",2
2014,"Frogdice, Inc",2
2014,Frogwares,2
2014,"FromSoftware, Inc",6
2014,"Frontier Works",1
2014,"Frost Earth Studio",1
2014,"Frozen Flame",1
2014,"Frozen Yak Entertainment",1
2014,Fugazo,2
2014,"Full Control",2
2014,"Full Control Studios",4
2014,"FUN Creators",1
2014,"Fun Labs",1
2014,"Funatics Software",2
2014,Funcom,3
2014,"Funky Logic Studios",1
2014,"Furiously Inactive Games",1
2014,"Future Games",1
2014,"FX Interactive",2
2014,Gabor,1
2014,"Gabriel Priske",3
2014,"Gaijin Entertainment",2
2014,"Gaijin Games",2
2014,"Galaxy Gate",1
2014,GalaxyTrail,4
2014,"Galhmac Game Studio",3
2014,Gamatic,2
2014,"GAME ARTS Co., Ltd.",1
2014,"Game Mechanics",2
2014,"Game Mechanics LLC",2
2014,Game-Labs,2
2014,"GameArt Studio GmbH",3
2014,"Gamebell Studio",1
2014,GameCask,2
2014,GameCrafterTeam,1
2014,GameDesignDan,2
2014,GameORE,1
2014,Gamepires,1
2014,GamePrix,2
2014,"Games Farm",3
2014,"Games Hut",2
2014,Gamestar,2
2014,Gamious,1
2014,GammaLateral,1
2014,Ganz,1
2014,"Gaslamp Games, Inc.",1
2014,"Gato Salvaje S.L.",2
2014,"Gazillion Entertainment",5
2014,"Gearbox Software",9
2014,"Genee Network",4
2014,"General Arcade",2
2014,"Gentleman Squid Studio",1
2014,"Geoff Keighley",1
2014,"German Airports Team",1
2014,"Ghost Machine",1
2014,GhostShark,2
2014,"Giant Box Games",2
2014,"Giants Software",7
2014,Gl33k,2
2014,Glacicle,1
2014,"Glass Knuckle Games",2
2014,"Glitchy Pixel",2
2014,Glowforth,1
2014,"gnifrebel Games UG",1
2014,Gogii,1
2014,"Gogii Games",21
2014,Gojira,2
2014,"Goldhawk Interactive",1
2014,GolemLabs,1
2014,"Gone North Games",1
2014,"Gonzo Games",1
2014,"Good Games",3
