Developer,count(*)
"Colossal Order Ltd.",30
"Colossal Wreck",1
"Colosse Team",1
"Colton Bone",1
"comcept Inc.",1
"ComiPo! LLP",8
ComixPlay,2
"Common Dreams Media",2
"Commotion Games Pty Ltd",1
ComonGames,1
"Compile Heart",41
"Composer-Motorin Dmitry (Djinotan)",1
"Compulsion Games",2
Computerhouse,1
"Concave Studio",1
ConcernedApe,2
"Concrete Games",1
"Condition One",1
"Cone Arts",1
"Conflux Games",2
"Confused Genius",2
"Confused Pelican",1
"Connor Ullmann",1
"Conor Strejcek",1
"Conrad Nelson",1
Contingent99,1
Convex,1
"Convoy Games",2
"Cool Frogs Studio",1
"Cool Mini or Not",5
"Coolhand Interactive",1
"Cooply Solutions",1
"Copenhagen Game Collective",1
Copybugpaste,1
"Corbie Games",2
"Corbomite Games",1
"Core Design",6
Coredumping,1
Coreplay,1
"Coreplay GmbH",10
"CorePunch Gamestudio",1
"Corncrow Games",1
"Cornfox & Bros.",1
"Cornfox & Brothers Ltd.",1
"Coronado Games",1
"Corridor Digital",1
"Corrosive Studios LLC",6
CorypheeSoft,3
"Cosimo Menga",1
Cosmi,2
"Cosmic Cow LLC",1
"Cosmic Logic",2
Cosmillica,1
"Coty Getzelman",2
"CounterCurrent Games",1
"Cowardly Creations",3
"Cowboy Color",1
COWCAT,1
"CP Decision",1
cpmilan,1
CPsoft,3
"CrackerJack Games",1
"Crackpot Entertainment",1
Crackshell,1
"Crafty Studios",6
"Craig Daversa",1
"Craig Gibbs",1
"Cranberry Production",3
"Crank Goblin",1
"Crankshaft Games",3
Cranktrain,2
"Crashable Studios",3
"Crate Entertainment",1
"Crayder Studios",1
"Craze Creative Studios",2
"Crazy Monkey Studios",1
"Crazy Moo Games",2
"Crazy Rocks Studios",1
"Crazy Viking Studios",1
"CRAZYDIAMOND CO., LTD.",1
Creability,1
"Creat Studio",1
"Creat Studios",1
"Creat Studios Inc",1
"Creatio 49",1
"Creative Assembly",33
"Creative Assembly, PC Port - Hardlight",1
"Creative Film Management",1
"Creative Rail",1
"Creative Storm Entertainment",1
"CreativeForge Games",4
Crecatsoft,1
"Creepy Cute",1
"Crenetic GmbH Studios",1
Creobit,9
CreoFUGA,1
Creoteam,3
"Crescent Moon Games",2
CreSpirit,3
"Crian Soft",3
"Crimson Cow",1
"Crimson Duck Studios",1
"Crimson Night",2
"Crimson Owl Studios",1
CrioLand,1
"Crispon Games",1
"Criss Cross Games",1
"Criterion Games",2
"Critical Bit",1
"Critical Games",4
"Critical Studio",2
"Crocodile Entertainment",1
"Cross Eaglet",1
Cross-Product,2
"Crosse Studios",1
Croteam,21
"Crowbar Collective",1
Crowbox,1
"Crows Crows Crows",1
"Crunching Koalas",1
"Crunchy Games",1
"Crusty Squirrel",1
"Cryo Interactive",1
"Cryptic Sea",3
"Cryptic Studios",13
"Crystal Dynamics",57
"Crystal Dynamics Inc.",6
"Crystal Empire Games",1
"Crystal Labs",1
"Crystal Shard",1
Crytek,15
"Crytek Studios",3
"Crytivo Games",2
"CS Squared Games",1
CSR-Studios,1
"Cube Roots",1
"Cubic Pie",1
"Cuddly Zombie Games",1
"Culture Attack Studio",1
"Cunning Force Games",1
cupholder,1
"Curious Panda Games",2
"Curious Planet",1
"Curse Box Studios",1
"Curvature Systems",2
"Curve Digital",1
"Curve Studios",5
"Cuve Games",2
"Cuveet Story",1
Cyan,1
"Cyan Worlds",8
Cyanide,10
"Cyanide Montreal",3
"Cyanide Studio",13
"Cyanide Studio - Spiders Studios",1
"Cyanide Studios",19
"Cyanide Tea",2
"Cyber Rhino Studios",1
"CyberConnect 2",1
"CyberConnect2 Co. Ltd.",4
"CyberConnect2 Co., Ltd.",10
cybercritics,1
Cyberdreams,1
CyberLink,7
Cyberlore,1
"Cyberlore Studios, Inc.",1
Cybernate,1
"Cybernetik Design",2
CyberphobX,1
"CyberSports Ltd.",1
"Cybertime System",1
CydoniaGate,1
"Cygnus Studios",1
"Cylight Studios",2
Cylne,1
"Cypress Inheritance LLC",1
"Cyril Megem",1
"D ? N V ? R",1
D-Games,1
D3,1
"D3DGear Technologies",1
"D3Publisher of America, Inc.",4
d3t,1
"Da Picky Monkey",1
"Daedalic Entertainment",29
"Daedalic Studio West",1
"Dagestan Technology",6
"Dagger Games",2
DAIKON,1
"Daisy Maze Games",2
Damaged,2
"Dambuster Studios",1
"Damian Sommer",1
"Dan  Walters",1
"Dan Dez",1
"Dan FitzGerald",1
"Dan Fornace",1
"Dan Games",1
"Dan Kramer",1
"Dan Walters",2
"Dancing Developers",1
"Dancing Dinosaur Games",1
"Dancing Dots",1
"Dancing Dragon Games",6
"Dangerous Derk Interactive",1
"Dani Navarro",1
"Daniel Borgmann",1
"Daniel Davies",2
"Daniel Fernandez Chavez",1
"Daniel Gallagher",1
"Daniel Gill",1
"Daniel Jonathan Bourke",1
"Daniel Kim",1
"Daniel Linssen",2
"Daniel Mercier",1
"Daniel Mullins Games",2
"Daniel Oliveira Carneiro",6
"Daniel Riley",1
"Daniel Ritchie - Squirreldome.com",2
"Daniel Snd",1
"Daniel Spruce",1
"Daniel Wright",1
DanielDavisGames,2
"Daniele Giardini",1
"Daniil Gasanov",1
"Danny Wei",1
Dan_D,1
"Dapper Swine",2
"Darius Bode",3
Darjeeling,1
"Dark Amber Softworks",1
"Dark Artz Entertainment",1
"Dark Castle Software",2
"Dark Computer Entertainment Ltd.",2
"Dark Day Interactive",3
"Dark Energy Digital Ltd.",1
"Dark Fox",1
"Dark Gaia Studios",5
"dark made games",1
"Dark Program Productions LLC",1
"Dark Roast Entertainment",2
"Dark Seas Interactive",1
"Dark Vale Games",7
"Dark Water Studios Ltd",1
"Dark Water Studios, Ltd.",1
"Dark-Spot Studio",2
"DarkArts Studios",3
DarkElite,2
"Darkest Hour Team",1
"darkForge Games LLC",1
DarkGod,4
"Darklight Games",1
"Darkling Room",7
"Darkmire Entertainment",1
Darkraven,2
"DarkStar Games",1
DarkTigerDevelop,1
Darkworks,2
"Daryl Petty",1
"Data Realms",2
"Data Realms, LLC",1
"Date Nighto",3
"Dave Gedarovich",1
davevillz,2
"David Amador",1
"David Capello",1
"David Erosa",1
"David Gow",1
"David Hensley",1
"David Kanaga",1
"David Lawrence",1
"David M.",1
"David Mccue",1
"David Mulder",3
"David Newton",2
"David O'Boyle",1
"David OReilly",1
"David S Gallant",1
"David Stark",1
"David Szymanski",10
"David Teruel",1
"David Vogt",1
"David Wehle",1
"David Williamson",1
"Davide Caio",1
"Davioware and Quazi",2
"Day 1 Studios",1
"Day Dreamer Games",1
"Day-In Productions",1
"Daybreak Game  Company",1
"Daybreak Game Company",38
"Daydream Software",1
"Dayjob Studio",1
"Daylight Studios",2
"Daylight, LLC",1
Days,1
"Days of Wonder",10
"DDD Wares",2
"Dead Gentlemen Productions",2
"Dead Mage",5
"Dead Shark Triplepunch",1
DEADBIT,1
"Deadbreed AB",12
DEADFACTORY,1
"Deadghost Interactive",1
"Deadline Games",3
"Deadline Softs",1
"Deadly Red Cube",1
Deadman,1
"deadweight games",1
DeanForge,1
"DebonosuWorks Inc.",1
Decane,1
"Decaying Logic",10
"Decent Machine",1
"Decent Software LLC",1
"Deceptive Games",1
"Deck 13",13
"Deck 13 Hamburg",1
Deck13,4
"Deck13 Hamburg",2
"Decky Coss",1
"Deco Digital",2
Deconstructeam,1
"Dedication Games",2
"Dedication Labs",1
"Deep Fried Enterprises",1
"Deep Red Limited",1
"Deep Silver Volition",29
Deepred,1
"Defence Alliance Team",1
"Defiant Development",4
Defroids,1
"Defroids team",1
"Defrost Games",1
Degica,52
"Deion Mobile",1
"Deirdra Kiai Productions",2
"Dejobaan Games, LLC",9
DEKDEV,1
"Dekovir Entertainment",2
DEKU,2
"Delirium Studios",1
"Delve Interactive",2
Demesnegame,1
"Demiurge Studios",5
"Demon Sword",1
"Demon Wagon Studios",1
"Denis Esie",1
"Denis Galanin (mif2000)",2
"Denis Lapiner",1
"Dénis Múrias",1
"Denis Novikov",1
"Denis Ovsyannikov",1
"Dennaton Games",4
"Denneko Yuugi",1
"Denys Ovsiannykov",1
"Descendent Studios Inc.",1
"Desert Owl Games LLC",1
"Desert Owl Games, LLC",5
"Design Factory",1
DesktopPaints,1
Destrax,1
"Destrax Games",1
"Destructive Creations",2
desunoya,3
Detective,1
"Dev Arc",1
"Devespresso Games",1
devFluid,1
DEVGRU-P,1
"Devil's Details",7
"Devin Sherry",1
Devoga,1
Devolver,1
devotid,1
"devotid Media",1
DevQ1,1
"Dewdrop Games",1
Dexmes,1
DeXP,3
"DEZ Studio",8
"DFour Games",1
DGform,1
"Dharker Studio",18
"Dialogue Design",2
DICE,6
Dice7,1
"Die Gute Fabrik",1
"Diegetix Sound LLC",4
"Diego Acevedo",1
"Diego Rodrigues",1
"Dietrich Squinkifer",1
DiezelPower,2
"Different Tuna",1
"Diffusional Arts",1
"Digerati Distribution",1
"DiggerWorld Ltd.",1
"Diggidy.net, LLC",2
"DigiFX Interactive",1
"Digital Arrow",2
"Digital Concepts",1
"Digital Confectioners",20
"Digital Crafter",1
"Digital Dawn Studios",1
"Digital Dreams Entertainment LLC",1
"Digital Dreams V.O.F.",1
"Digital Eel",6
"Digital Entertainment",1
"Digital Extremes",18
"Digital Furnace Games",3
"Digital Fusion",1
"Digital Happiness",4
"Digital Homicide Studios",11
"Digital Leisure Inc.",5
"Digital Lightning Studios",1
"Digital Mantis",1
"Digital Media Workshop",1
"Digital Melody",3
"Digital Phoenix",1
"Digital Reality",6
"Digital Reality Software & Playbox",2
"Digital Skills",1
"Digital Soul Games",1
"Digital Sound Factory",27
"Digital Tentacle",1
"Digital Traction",1
"Digital Train Model",1
"Digital Train Model (Mannu Pach)",2
"Digital Train Models",2
"DigitalDNA Games LLC",1
Digitallion,1
Digitalmindsoft,14
DigitalTrainModel,8
DigitalWorldEntertainment,1
"Digitial Skills",1
Diios,1
"Dima Kiva",2
dimecoin,1
"Diminished Studios",2
"Dimmdrive Inc.",1
DIMPS,5
Dingaling,2
"Dingo Games",2
"Dinofarm Games",1
"Dinosaur Polo Club",1
"DiPi Games",1
"Dirigo Games",1
"Dirk Jacobi",1
"Dirk Schreiter",1
Disastercake,1
"Dischan Media",1
"Discovr Labs",1
"Disney Interactive",1
"Disparity Games",2
"Displace Media",1
"Dissident Logic",2
Ditto,1
Diviad,1
"Dlala Studios",1
"DM Media",2
"DMD 'Ware",1
"DMD Enterprise",1
"Dmytry Lavrov",2
"DnS Development",6
"DNZY Games",1
"Doctor Entertainment",2
"Doctor Entertainment AB",3
"Dodge Roll",5
"Dogenzaka Lab",5
"Dolores Entertainment",2
"Dominic Qwek Art",4
"Dominique Grieshofer",1
"DOMO Studio",2
"Don Whitaker",2
"Donley Time Foundation",1
"DONTNOD Entertainment",13
"Donut Games",1
"Doomsday Games",1
"Doomster Entertainment",2
"Doppler Interactive",1
DopplerFrog,1
"Dorado Games",4
"Doragon Entertainment",1
"Dot Dream",1
dotBunny,1
DotEmu,17
"DotEmu SAS.",1
"Double Action Factory",1
"Double Damage Games",1
"Double Eleven",5
"Double Eleven Limited",1
"Double Fine Productions",21
"Double Helix Games",9
"Double Stallion Games",1
"Double Zero One Zero",1
"DoubleBear Productions",3
"DoubleDutch Games",4
doublesix,1
"Doublesix Games",7
"Dovetail Games",236
"Dovetail Games - Trains",3
Dowino,1
"Down Here Productions",1
Doyodo,2
"DPad Studios",1
"DQ Team",4
"DR Studios",1
"Dr. Kimberly Voll",1
"Dracue, Co. ltd",1
"Drago Entertainment",3
Dragom,1
"Dragon's Games",1
"Dragonflight LLC",1
Dragonfly,4
"DragonHead Studio",1
DragonSix,1
"Drakkar Dev",1
"Drama Drifters",1
"Drawbridge Designs",1
Dreadbit,5
"Dreadlocks Ltd",1
"Dreadlocks Ltd.",2
"Dream Forge Entertainment, LLC",1
"Dream Harvesters",1
"Dream Reactor",1
"Dream Up",1
"Dream Within",1
Dreamatrix,6
"DreamForge Intertainment",1
"Dreamloop Games",1
Dreampainters,1
"Dreampainters Software",1
"DreamSail Games",1
"Dreamsite Games",2
DreamsSoftGames,5
Dreamworlds,2
"DrinkBox Studios",4
"Drixy Games",1
Droog71,1
Drool,1
DropDGames,1
Droqen,2
"Drowning Monkeys Games",1
"Dry Cactus",2
"DSK Green Ice Games",1
"DSK Studios Pvt. Ltd",4
"dSky9, Inc.",1
dsquare,1
"DTF games",1
DTP,2
"dtp Entertainment",3
"Duaik Entretenimento",2
Dualhaze,1
"Dubrovkin Sergei",1
"DuCats Games Studio",2
Duckbridge,3
"Duckvalley Productions",1
"Duct Tape Games",1
Duelboot,1
Dugan,1
Duion,1
"Dumativa Creative Studio",1
"Dumb and Fat Games",4
Dumbfounded,1
"Duncan Perham",1
Dunderware,1
"Dungeoneering Studios",1
"Dust Devil Studios Inc.",1
"Dust Scratch Games",2
"Dustin Gunn",2
dustinaux,1
DVS,1
"Dwarves Might Fly",1
dwCrew,1
"DYA Games",2
"Dykast Lubomir",1
"Dylan Fitterer",5
"Dylan Loney",1
"Dylan Wentz",1
"Dynamic Games",1
Dysotek,1
"Dystopia Team",1
"Dzung Phung Dinh",2
"E&Z Studio",1
"E-Line Media",3
"EA - Maxis",2
"EA Black Box",1
"EA Los Angeles",7
"EA Redwood Shores",1
"Eagle Dynamics",17
earrgames,1
"Earthworm Games",1
"Easy Co",1
"EasyAntiCheat Ltd",1
EasyGameStation,4
"Eat Create Sleep",4
ebi-hime,6
"Ebonscale Games",2
"Eclipse Games",4
"Ectoplasm Studio Inc.",1
"Ed Curtis-Sivess",1
"Ed Key and David Kanaga",1
"Edd Coast",1
"Eddy & Gary & Friends",2
"Eddy Games",1
"EDE ARCADE",1
Edelweiss,7
"Eden Games",1
"Eden Industries",5
"Eden Studios",1
"Edge Case Games Ltd.",2
"Edge of Reality",15
"Edmund McMillen",3
"Edmund McMillen and Florian Himsl",2
"Edmund McMillen, Florian Himsl",1
"Edmund McMillen, Tyler Glaiel",1
eduweb,3
"Edward Kozadaev",1
"Eerie Bear Games",1
"Eerie Games",1
"Efecto Studios",2
EfimovMax,2
Eforb,2
EfrenStudios,3
"Egamea Game Studios",1
EGCL,1
Eggcode,1
"Eggtooth Team",1
"Egidijus Bachur",1
Egosoft,14
"Eidos Interactive",2
"Eidos Montreal",1
"Eidos Studio Hungary",2
Eidos-Montréal,5
"eight game studio",1
EightyEightGames,2
Eipix,2
"Eipix Entertainment",1
Eisenbahnwerk,1
"Ejoy Games",1
EJRGames,3
"Eko Software",12
ektomarch,1
"Ekuator Games",2
"El Huervo / Niklas Åkerblad",1
ElagoTech,2
"Elder Games",6
"Eldon Harris",3
Elecorn,1
"Electric Cafe",1
"Electric Eggplant",1
"Electric Games",1
"Electric Monk Media",1
"Electric Rune",1
electrolyte,3
"Electronic Arts",4
"Electronic Paradise",1
"Electroplasmatic Games",3
Elefantopia,1
"Elemental Games",1
"Eleon Game Studios",1
"Elephant Games",4
"Elev8 Games",1
"ElevenSeventy, LLC",2
"Elias Viglione",11
"Elijah Mills",2
"Elijah Newman-Gomez",1
"Elite Games Ltd",1
"Elite Games Team",1
"Elixir Studios",1
"Elizabeth Flynn",8
"Ellada Games",1
"Elliptic Games",3
Elushis,1
Emad,1
Emagica,1
"Emberheart Games",1
"eMedia Music",2
"Emerald Activities",1
"Emeryon games",1
"Emilios Manolidis",1
"Emily Carroll",1
"Emmanuel Salva Cruz",1
"Emmett Butler",1
"EmpI Studios",2
Empires,1
"Empty Clip Studios",2
"En Masse Entertainment",15
Encryptique,1
"Endeavor One Inc.",1
"Endemol Shine UK",1
"Endgame Studios",1
"Endi Milojkoski",1
"Endless Loop Studios",8
"Endlessfluff Games",1
"Endnight Games Ltd",1
"Eneme Entertainment",1
"energy milk",1
"Engient, Inc",1
Enigami,1
"Enigma SP",3
Enitvare,2
ENKSoft,1
"Enlight Software Limited",7
"Enlight Software Limited, PerspectX",1
"Enlightened Games",1
"Ennoble Studios",1
"Enrick Lambert",1
"Ensemble Studios",4
EnsenaSoft,1
"Enter Main Loop",2
"Enter Skies",1
Enterbrain,15
"Entheogen Studios LLC",2
"Entity Medialab",1
"Entrada Interactive LLC",1
"EnV Music",1
"Enzo Whyte",1
"Epic Devs LLC",1
"Epic Games, Inc.",7
"Epic LLama",1
"Epic MegaGames",1
"Epic Quest  Games",1
"Epic Shrimp",1
"EpicHouse Studios LLC",1
"Epiphany Games",5
Epixx.org,1
Eplixe,1
"Erdem Sen",2
"Eren Ayd?n",1
"Eric Chahi",1
"Eric Hartman",1
"Eric Hopton",1
"Eric Hornby",1
"Eric J Turman",1
"Eric Provan - Ayyo Games",1
"Érico Temponi",1
"Eridani Games",2
"Erik Asmussen",3
"Erik Svedäng",3
"Erkka Lehmus (co-designer)",1
"Ern? Király",1
erobotan,1
"Erotes studio",3
"Errol Bucy",2
"Erwin Wolf",1
"ES Team",1
"Escalation Studios, Inc",1
"Escape Hatch Entertainment, LLC",1
"Escape Hatch Entertainment,LLC",1
"Escapist Games Ltd",1
"Essence Ltd.",1
Estelion,1
"ESTsoft Corp.",1
"Estudio Raed Wulf",1
"EternalShadow Studios",1
"Ethereal Darkness Interactive",2
"Étienne Périn",1
"Etranges Libellules Studios",1
"Etter Studio",1
"Eugen Systems",20
"Eugene Chung",1
Eurocom,4
"Europe at War Development Team",1
Eutechnyx,38
"Evallis Entertainment",1
"Evan (Solidplasma) Peiperl",1
"Evan Szymanski",1
"Evan Todd",3
"Evan Tognotti",2
Evergreen,1
"Everlasting Fantasy",1
"Evermore Game Studios",1
Eversim,9
"Every Single Soldier",1
"Everything Unlimited Ltd.",2
EVGA,1
"Evgeny Shcherbakov",3
"Evil Aliens",1
"Evil Indie Games",1
"Evil Twin Artworks",2
"Evilized Productions",1
"Evolutionary Games",1
"Ex Nihilo",1
"EXAMU Inc.",1
"Exato Game Studios",1
"Exato Games Studio",7
Excalibur,5
"Excalibur Publishing",1
Excamedia,1
exDream,1
"ExDream GmbH",1
"Exe Create Inc.",1
"Exe Games Inc.",4
Exkee,5
"EXOR Studios",8
"Exordium Games",2
"exosyphen studios",22
"Expansive Worlds",5
"Experience Inc.",1
"Experimental Gamer Studios",2
"Explosive LLC",1
"Exquisite Games",2
"Extend Studio",7
EXTREME,2
"Extreme Reality",1
"Extrokold Games",1
"Eyebrow Interactive",2
"Eyedentity Games Inc.",1
"Eyemobi Ltd.",1
"EyeSpyda Games",1
EZDesigner,1
"Ezzat Studios",1
"Fabian Jarrett",1
"Fabio Ferrara",9
"Fabio Mosca",2
Fabraz,1
"Facepunch Studios",3
"Factor 5",1
"Factus Games",3
"Failbetter Games",1
"Fair Play Labs",2
"Fair Weather Studios, LLC",1
Fakedice,1
"Fakt Software",19
"FAKT Software Gmbh",1
"Fallen Snow Studios",1
"Fallen Tree Games Ltd",5
FallenMaster,2
"Fancy Bytes, Reactor",5
"Fancy Fish Games",8
"Fantasy Flight Games",2
"Fantasy Flight Publishing, Inc.",1
"Faravid Interactive",1
"Faris Mohammed",1
Farjay.com,1
"Farlight Games Industry",1
FarmerGnome,2
FarrugiaSoft,1
"FarSight Studios",11
"Farsky Interactive",2
"FarSpace Studios",2
"Fastermind Games",3
"Fastline Simulation",21
"FAT BOMB STUDIOS, LLC",1
"Fat Loot Games",1
"Fat Panda Games",3
Fatbard,1
Faton,2
Fatshark,26
"Faultline Games",1
Fayju,1
Feelthere,4
"Felix Wunderlich",2
"Fenrir Studios",1
"Feral Interactive (Linux)",148
"Feral Interactive (Mac and Linux)",2
"Feral Interactive (Mac)",227
"Fermenter Games",2
"Fernando Paulo",1
"Fernando Ramallo",1
"Ferocity 2D",1
Fervent,2
"Fictiorama Studios",2
"Fifth Column Features",1
"Fifth Dimension Company",1
"Fighting Games",1
"Filament Features",1
"Filament Games",2
Filimundus,1
"Filip Victor",1
"Film Nova",1
"Film Science",1
Filmnoize,1
"Final Boss Entertainment",2
"Final Form Games",3
"Final Training",1
"Finalboss game studio",1
"Finalspark Gamestudios",1
"Fineway Studios",1
"FingerPunch Games",1
"Fingertip Games UK",1
Finji,1
"Finn Morgan",1
"FiolaSoft Studio",5
Firaxis,4
"Firaxis Games",45
"Fire Face Corporation",1
"Fire Hose Games",4
"Firebase Industries Ltd.",1
"Firebrand Games",3
"Firedance Games",1
"FireFly Studios",16
"FireForge Games",1
Firemint,1
"Fireproof Games",2
"First Class Simulations",8
FirstForever,1
"FirstForever Studios",3
"Fish Factory Games",2
"Fishcow Studio",1
"Fishing Cactus",2
"Fishing Planet LLC",14
"Fishlabs Entertainment GmbH",1
"Fistful of Frags Team",1
Fivang,1
"Five and Four",1
"Five Archers Games",2
"Five Cubed",1
"FIVE-BN GAMES",11
"FIX Games",3
"FIX Games, Co. LTD",1
"FIX Korea",4
"FIX Korea, Co.LTD",1
"Fixer Games",1
"Fixpoint Productions",1
"Fixpoint Productions Ltd.",2
"FK Digital",1
"Flaming Pumpkin Ltd",1
"Flashback Games",22
"Flashpoint Studios",1
"Flat Earth Games",2
"Flat Software",2
FLAT12,2
"Flatbox Studios",1
"Flatline games",1
Fledermaus,1
Flenx,1
FlexileStudio,1
"Flight Systems LLC",1
Flightless,1
"Flippfly LLC",3
"Flix Interactive",1
"Flow Combine",2
"Flox Studios Ltd.",3
"Fluffy Kitten Studios",4
"Fluid Games",1
"Flump Studios",6
"Fly System",1
"Flyhigh Works",1
"Flying Cafe for Semianimals",2
"Flying Helmet Games",1
"Flying Mollusk",1
"Flying Mollusk, LLC",1
"Flying Oak Games",1
"Flying Squirrel Entertainment",1
"Flying Wild Hog",8
"Flyleap Studios",1
"Flyleap Studios Pty. Ltd.",1
FlySimWare,2
"FNAF Facebook Team",1
FNGames,1
"FOAM Entertainment",1
"FobTi interactive",2
"Focus Home Interactive",3
"FOO VR, Inc.",1
Footmade,1
"For All To Play",3
"Forbes  Consult Ltd",19
"Forbes Consult Ltd",2
"Force Of Habit",2
Forcequitapplicatons,1
Foreignvr,1
"Forever Entertainment S. A.",17
ForeverBound,1
"Forge Reply",1
"Forge Reply srl",2
"Forgotten Empires",3
"Forgotten Key",1
"Formosoft International",1
"Forte Sounds",1
"Forthright Entertainment",1
"Fortress Forever Development Team",1
"Fossil Games",1
"Four Circle Interactive",1
"Four Lights",3
"Four Quarters",2
"Four Winged Studio",1
FourbitFriday,1
"Fox Buchele",1
"Fractal Box",1
"Fractal Phase",1
"Fragment Production Ltd",2
"Fragment Production Ltd.",2
"fragOut Studio",1
FrameLineNetwork,1
"FrameLineNetwork Kft.",1
"Francesco D'Andrea",1
"Francisco Téllez de Meneses",1
"Franck Graziano",2
Fraoula,1
"Freakinware Studios",2
"FreakZone Games",3
"Fred Wood",2
"Frederic Gaillard",1
"Free Lives",3
"Free Range Games",1
"Free Reign Entertainment",1
"Freebird Games",7
"Freedom Factory",3
Freedomize,1
Freegamer,4
"Freehold Games",3
Freejam,1
Freekstorm,2
"Freeze Tag Inc.",1
FreezeNova,2
FRENCH-BREAD,1
"Frere d'Arme",1
Fresh3D,2
FreshGem,1
"Freshly Squeezed",2
"Frictional Games",6
friendlyOctopus,1
Frima,1
"Frima Studio",5
"Frog City Software",2
Frogames,4
"Frogdice, Inc",2
Frogmind,2
"Frogsong Studios AB",1
Frogwares,13
"From Earth Team",1
"From Nothing Game Studios",2
"From Soy Sauce LLC",3
FromSoftware,2
"FromSoftware, Inc",6
"FromSoftware, Inc.",2
Frontier,2
"Frontier Developments",6
"Frontier Works",2
Frontwing,3
"Frost Earth",1
"Frost Earth Studio",1
"Frostcloud Studios",1
"Frozen Dev",2
"Frozen District",1
"Frozen Flame",2
"Frozen Orb",1
"Frozen Yak Entertainment",1
Frozenbyte,11
"Frozenmark Games",1
FS2Crew,1
"FSAddon Publishing",1
FSDG,1
"FSDG Online",2
"Fuel Entertainment",1
Fugazo,2
"Fugitive Games",2
"Full Control",2
"Full Control / WIT Entertainment",10
"Full Control Studios",9
FullPowerSideAttack.com,1
"Fully Bugged",1
"FUN Creators",1
"Fun Infused Games",3
"Fun Labs",2
"Funatics Software",8
Funcom,17
"Fungameco Ltd",1
Funkitron,2
"Funktronic Labs",3
"Funky Logic Studios",1
"Funnel Inc.",1
"Funny Games Group",1
"Funselektor Labs Inc.",1
"Furiously Inactive Games",1
"Fusty Game",1
"Future Crayon",1
"Future Games",1
"Future Pastimes",1
"Future Studios",8
Futuremark,16
"Futuremark Games Studio",1
Futuretown,4
FutureVisionsGames,1
FuturLab,2
"FX Interactive",2
FXpansion,1
"G-Boot Games",1
G-OLD,1
G-Trax,3
"G-Trax Simulation",1
"G-Trax Simulations",1
"G.rev Ltd.",1
G2CREW,2
"G3 Community Patch Team",1
"G5 Entertainment",1
"G5 Software",3
GabberGames.com,1
Gabor,1
"Gabriel Entertainment",1
"Gabriel H",1
"Gabriel Interactive",1
"Gabriel Priske",2
"Gaddy Games",1
"Gadget Games",1
"Gaijin Entertainment",13
"Gaijin Entertainment Corporation",3
"Gaijin Games",14
"Galactic Bits, Inc",1
"Galactic Cafe",2
"Galaxy Gate",9
GalaxyTrail,3
"Galhmac Game Studio",2
"Galvanic Games",1
Gamatic,1
Gambrinous,3
"GAME ARTS Co., Ltd.",2
"Game Distillery s.r.o.",1
"Game Freak",2
"Game in a Bottle",1
"Game Insight",8
"Game Mechanics",1
"Game Mechanics LLC",1
"Game Nation Inc",1
"Game Studio 78",1
"Game Studio Abraham Stolk Inc.",2
"Game Swing",1
Game-Labs,2
"GameArt Studio GmbH",9
"Gamebell Studio",1
Gamebryo,1
GameCask,1
"Gamechanger Films, Lege Arts, XYZ Films",1
"GameCoder Studios",1
GameConnect,1
GameCrafterTeam,1
GameDesignDan,1
Gameguyz,1
"GameIndica Entertainment",2
GameLooper,1
"Gamelyn Games",2
GameORE,1
Gamephase,1
Gamepires,4
GamePrix,1
Gamerizon,2
"Games by Robert, LLC",1
"Games Distillery s.r.o.",1
"Games Faction",2
"Games Farm",6
"Games Farm s.r.o.",1
"Games For Tutti",2
"Games Foundry",1
"Games Hut",3
"Games With Dragons In",1
Gamesare,3
GamesCafe,1
GameShark,1
GameStar,2
"Gamestar Arts",1
Gamestarters,1
"Gametek Brasil",1
Gametology,1
"GameUS Inc",4
"GameUS Inc.",25
"Gameware Studios",1
"Gamieon, Inc.",1
"Gaming Cats Studio",1
"Gaming Corps AB",2
"Gaming Minds",4
"Gaming Minds Studios",3
Gamious,2
GammaLateral,1
Ganz,1
"Ganz Studio",1
"Garage Monkey Studio",1
"Garden Knight Games",1
"Gas Powered Games",9
"Gaslamp Games, Inc.",5
"Gateway Interactive",2
"Gatling Goat Studios",3
"Gato Salvaje S.L.",4
Gausswerks,1
"Gazillion Entertainment",26
"GDT Limited",1
"Gearbox Software",82
"Gears for Breakfast",1
"Geek Sloth Games",1
GeekBeach,1
"Geeta Games",2
GeexGames,1
"Genee Network",2
"General Arcade",5
"Genetix Studio",1
"Geniaware Srl",4
"Gennady Guryanov",1
"Gentle Ghouls",1
"Gentleman Squid Studio",1
Gentlymad,3
"Geoff Keighley",3
Geomertex,1
"George Eracleous",2
"George Neguceanu",1
"Gereon Bartel",1
"Gergely Zsolnay",1
"German Airports Team",1
"GFI Russia",1
GG-Works,1
"Ghost Crab Films",1
"Ghost Crab Games",1
"Ghost Machine",8
"Ghost Town Games Ltd.",1
Ghostlight,27
GhostShark,2
"Giant Army",2
"Giant Box Games",1
"Giant Enemy Labs",1
"Giants Software",22
"Gigatross Games",6
"Ginger Labs LLC",1
"Giorgi Abelashvili",2
"Giovanni Rotondo",1
"Giulia Airoldi",4
"Giulia Sorrentino",1
Gl33k,1
Glacicle,2
"Glass Bottom Games",4
"Glass Knuckle Games",3
Glitchnap,1
"Glitchy Pixel",1
"Global Empire Soft",1
