Year(Release_Date),Genre,Developer,count(*)
2008,Action,Frozenbyte,1
2008,Action,"Games Faction",2
2008,Action,"Gas Powered Games",1
2008,Action,"Gearbox Software",5
2008,Action,"GSC Game World",1
2008,Action,"Haggard Games",1
2008,Action,"Hermitworks Entertainment ",2
2008,Action,"Insurgency Development Team",1
2008,Action,"InterWave Studios",1
2008,Action,ISOTX,1
2008,Action,"Kaos Studios",1
2008,Action,Kudosoft,1
2008,Action,Moonpod,4
2008,Action,"Parallax Arts Studio",1
2008,Action,"Pivotal Games",3
2008,Action,"Red Storm Entertainment",7
2008,Action,"Remedy Entertainment",2
2008,Action,"Rockstar New England",1
2008,Action,"Rockstar North",4
2008,Action,"Rockstar Toronto",1
2008,Action,"Sandstorm Productions",1
2008,Action,"SCS Software",1
2008,Action,"Spark Unlimited",2
2008,Action,Spellbound,1
2008,Action,"Synergy Team",1
2008,Action,"Traveller's Tales",1
2008,Action,Treyarch,1
2008,Action,Ubisoft,7
2008,Action,"Ubisoft Bulgaria",1
2008,Action,"Ubisoft Montpellier",1
2008,Action,"Ubisoft Montreal",7
2008,Action,Valve,2
2008,Action,"Zombie Panic Team",1
2008,Adventure,"Crackpot Entertainment",1
2008,Adventure,"Crystal Dynamics",1
2008,Adventure,"Deck 13",1
2008,Adventure,Deck13,1
2008,Adventure,"Double Helix Games",1
2008,Adventure,Frogwares,4
2008,Adventure,"Haggard Games",1
2008,Adventure,"Hothead Games",4
2008,Adventure,Kudosoft,1
2008,Adventure,"Luc Bernard",1
2008,Adventure,"Luc Bernard & SilverSphereStudios",1
2008,Adventure,"Momentum Digital Media Technologies",1
2008,Adventure,"Oddworld Inhabitants",4
2008,Adventure,"Rockstar New England",1
2008,Adventure,"Rockstar North",1
2008,Adventure,"Rockstar Toronto",1
2008,Adventure,"SCS Software",1
2008,Adventure,SilverSphereStudios,1
2008,Adventure,"Telltale Games",7
2008,Adventure,"Traveller's Tales",1
2008,Adventure,Ubisoft,3
2008,Adventure,"Ubisoft Bulgaria",1
2008,Adventure,"Ubisoft Montpellier",1
2008,Adventure,"Ubisoft Montreal",3
2008,Casual,blurredVision,2
2008,Casual,"CINEMAX, s.r.o.",2
2008,Casual,D3,1
2008,Casual,"Dark Castle Software",2
2008,Casual,"Dejobaan Games, LLC",2
2008,Casual,Exkee,1
2008,Casual,"Fakt Software",6
2008,Casual,Frogames,2
2008,Casual,"Infinite Interactive",1
2008,Casual,"Last Day of Work",10
2008,Casual,"Momentum Digital Media Technologies",1
2008,Casual,MumboJumbo,22
2008,Casual,"Perpetual FX Creative",1
2008,Casual,"PopCap Games, Inc.",3
2008,Casual,"Q Entertainment Inc.",3
2008,Casual,"Queasy Games",1
2008,Casual,"Sanzaru Games",2
2008,Casual,"Shorebound Studios",1
2008,Casual,Slam,2
2008,Casual,"SpinTop Games",2
2008,Casual,"Telltale Games",1
2008,Casual,Ubisoft,1
2008,Casual,Zemnott,1
2008,"Free to Play",Empires,2
2008,"Free to Play","Synergy Team",1
2008,"Free to Play","Zombie Panic Team",1
2008,Indie,"2D BOY",2
2008,Indie,"Bit Blot, LLC",1
2008,Indie,blurredVision,2
2008,Indie,"CINEMAX, s.r.o.",1
2008,Indie,"Cryptic Sea",1
2008,Indie,"Dark Castle Software",2
2008,Indie,"Dejobaan Games, LLC",2
2008,Indie,"Dialogue Design",3
2008,Indie,"Dylan Fitterer",2
2008,Indie,Exkee,1
2008,Indie,"EXOR Studios",1
2008,Indie,Frogames,2
2008,Indie,"Games Faction",2
2008,Indie,"Hermitworks Entertainment ",2
2008,Indie,"Hidden Path Entertainment",1
2008,Indie,"Introversion Software",2
2008,Indie,ISOTX,1
2008,Indie,"Luc Bernard",1
2008,Indie,"Luc Bernard & SilverSphereStudios",1
2008,Indie,Moonpod,4
2008,Indie,"Perpetual FX Creative",1
2008,Indie,"Queasy Games",1
2008,Indie,Redlynx,2
2008,Indie,"Sanzaru Games",2
2008,Indie,"Shorebound Studios",1
2008,Indie,SilverSphereStudios,1
2008,Indie,Slam,1
2008,Indie,"Spiderweb Software",1
2008,Indie,"TaleWorlds Entertainment",2
2008,Indie,"Team Chivalry",1
2008,Indie,"Zombie Panic Team",1
2008,Racing,Babylon,1
2008,Racing,"BigAnt Studios",1
2008,Racing,"Bugbear Entertainment",1
