Year(Release_Date),Genre,Avg(Price)
2005,Action,19.995
2005,Indie,7.994
2005,RPG,12.323333333333332
2005,Strategy,9.993333333333332
2006,Action,9.991724137931037
2006,Casual,20.790399999999998
2006,Indie,27.88684210526316
2006,Racing,15.132857142857143
2006,RPG,9.367499999999998
2006,Simulation,9.99
2006,Strategy,10.990909090909096
2007,Action,7.166521739130439
2007,Adventure,7.060666666666665
2007,Casual,5.6763157894736835
2007,"Free to Play",0
2007,Indie,6.707142857142856
2007,Racing,3.4928571428571433
2007,RPG,6.950869565217391
2007,Simulation,9.99
2007,Strategy,8.812307692307696
2008,Action,9.287653061224496
2008,Adventure,10.222564102564107
2008,Casual,5.645797101449278
2008,"Free to Play",0
2008,Indie,5.717234042553193
2008,Racing,9.939473684210528
2008,RPG,8.5425
2008,Simulation,9.338888888888892
2008,Sports,9.993333333333334
2008,Strategy,8.89526315789474
2009,Action,9.431859296482418
2009,Adventure,10.209207920792085
2009,Casual,7.070784313725495
2009,"Free to Play",0
2009,Indie,5.957094017094021
2009,"Massively Multiplayer",22.49
2009,Racing,7.572105263157893
2009,RPG,9.442394366197188
2009,Simulation,9.731481481481486
2009,Sports,6.861333333333332
2009,Strategy,8.273407407407413
2010,Action,9.93696517412936
2010,Adventure,9.804134615384623
2010,Casual,5.820701754385969
2010,"Free to Play",0
2010,Indie,7.869275362318846
2010,"Massively Multiplayer",9.995
2010,Racing,8.777142857142856
2010,RPG,9.29907692307693
2010,Simulation,11.104936708860764
2010,Sports,9.991666666666665
2010,Strategy,8.179078014184404
2011,Action,8.317351916376285
2011,Adventure,9.284673913043484
2011,Casual,5.683580246913585
2011,"Free to Play",0
2011,Indie,6.348802083333339
2011,"Massively Multiplayer",0
2011,Racing,11.844166666666668
2011,RPG,6.058396226415099
2011,Simulation,12.56411764705883
2011,Sports,12.989999999999998
2011,Strategy,7.964027149321274
2012,Accounting,29.995
2012,Action,8.21362776025226
2012,Adventure,10.474258373205728
2012,"Animation & Modeling",44.995
2012,Casual,5.125521739130441
2012,"Design & Illustration",168.32416666666668
2012,"Early Access",0
2012,Education,177.26363636363638
2012,"Free to Play",7.920000000000002
2012,Indie,7.170757575757533
2012,"Massively Multiplayer",9.986279069767443
2012,"Photo Editing",31.656666666666666
2012,Racing,6.828604651162793
2012,RPG,9.69575268817205
2012,Simulation,12.064125683060032
2012,"Software Training",177.26363636363638
2012,Sports,11.751600000000003
2012,Strategy,6.658496042216328
2012,Utilities,130.303125
2012,"Video Production",0
2012,"Web Publishing",168.32416666666668
2013,Action,10.699319955406771
2013,Adventure,11.052053789730955
2013,"Animation & Modeling",118.14999999999999
2013,"Audio Production",51.1912
2013,Casual,6.851712328767131
2013,"Design & Illustration",50.764523809523816
2013,"Early Access",17.191473684210532
2013,Education,118.658
2013,"Free to Play",21.313177083333258
2013,Indie,9.86849586776847
2013,"Massively Multiplayer",24.941909090909054
2013,"Photo Editing",99.99
2013,Racing,9.707901234567906
2013,RPG,11.745789473684129
2013,Simulation,14.123641404805786
2013,"Software Training",118.99100000000001
2013,Sports,12.690273972602746
2013,Strategy,8.30570356472787
2013,Utilities,80.91236842105263
2013,"Video Production",51.989999999999995
2013,"Web Publishing",51.30972222222223
2014,Action,11.100416907932786
2014,Adventure,11.227090606816132
2014,"Animation & Modeling",52.535227272727255
2014,"Audio Production",31.474945054945003
2014,Casual,7.024064960629787
2014,"Design & Illustration",38.12012987012984
2014,"Early Access",13.891362530413513
2014,Education,38.40333333333334
2014,"Free to Play",20.950995475113007
2014,Indie,9.3265436893204
2014,"Massively Multiplayer",26.192712550607176
2014,"Photo Editing",59.989999999999995
2014,Racing,10.458757396449712
2014,RPG,13.608193146417292
2014,Simulation,11.844003707136075
2014,"Software Training",27.077272727272728
2014,Sports,12.398304093567242
2014,Strategy,11.695263157894592
2014,Utilities,34.624946236559055
2014,"Video Production",25.952083333333334
2014,"Web Publishing",25.207608695652183
2015,Action,8.7735034426896
2015,Adventure,8.089946323134553
2015,"Animation & Modeling",49.325
2015,"Audio Production",45.13333333333334
2015,Casual,6.1202244039269145
2015,"Design & Illustration",27.132323232323177
2015,"Early Access",11.954105691056784
2015,Education,43.730434782608704
2015,"Free to Play",10.488562231759602
2015,Indie,7.007724222086953
2015,"Massively Multiplayer",15.96506944444436
2015,"Photo Editing",13.762000000000008
2015,Racing,9.62765550239235
2015,RPG,9.976076923076768
2015,Simulation,10.829295470884077
2015,"Software Training",22.23378378378379
2015,Sports,12.128483606557316
2015,Strategy,10.132133757961615
2015,Utilities,22.708585858585845
2015,"Video Production",43.79774193548388
2015,"Web Publishing",37.36279069767442
2016,Accounting,59.99
2016,Action,8.084389610389472
2016,Adventure,7.629786995515575
2016,"Animation & Modeling",37.12347826086957
2016,"Audio Production",61.376923076923084
2016,Casual,5.400245566166351
2016,"Design & Illustration",25.965263157894743
2016,"Early Access",9.96401812688815
2016,Education,24.874117647058828
2016,"Free to Play",10.667499999999999
2016,Indie,6.872390158172078
2016,"Massively Multiplayer",15.379640718562856
2016,"Photo Editing",47.589999999999996
2016,Racing,8.122631578947376
2016,RPG,10.105170556552862
2016,Simulation,9.465007320644082
2016,"Software Training",30.46294117647059
2016,Sports,9.683356164383568
2016,Strategy,8.877322033898196
2016,Utilities,22.993928571428572
2016,"Video Production",36.68
2016,"Web Publishing",9.465789473684211
