years,iso,obesity,individuals,homicide,deppression,n_friends
2011,BI,4.2,1.11,97.5173386838,4.29837732637,346
2012,BI,4.4,1.21999994477793,101.600995206,4.29478534509,467
2013,BI,4.6,1.2642181112,105.052876237,4.29104795648,522
2008,KH,2.4,0.51,571.337978985,3.39531439263,178
2009,KH,2.6,0.53,583.714959074,3.3945781895700002,1834
2010,KH,2.7,1.26,595.159338559,3.3915799339999997,1826
2011,KH,2.9,3.1,605.956023919,3.39613576699,1786
2012,KH,3.1,4.94,618.39015682,3.38768552208,3570
2013,KH,3.3,6.8,627.98234374,3.39156854254,3278
2008,CM,8.3,3.4,687.488954777,4.31174828415,45
2009,CM,8.7,3.84,713.812485565,4.3153867988100005,466
2010,CM,9,4.3,741.395265064,4.3260301840699995,550
2011,CM,9.4,5,768.613153117,4.31670686065,485
2008,CA,24.9,76.7,551.029312008,3.94238559371,33602
2009,CA,25.5,80.3,551.696571801,3.9227268871400005,378380
2010,CA,26,80.3,555.339920895,3.90656006484,422979
2011,CA,26.6,83,555.392257175,3.92341775766,517996
2012,CA,27.1,83,555.665687149,3.93186776939,753117
2013,CA,27.7,85.8,553.418684001,3.9500095411600005,532003
2008,CV,8.9,14,68.9440853291,4.6743511224,52
2009,CV,9.2,21,71.9420147652,4.67627630888,386
2010,CV,9.6,30,75.7872692236,4.66917394199,510
2011,CV,9.9,32,78.6050757146,4.66014466434,620
2012,CV,10.3,34.74,79.4539178585,4.65748569265,860
2013,CV,10.7,37.5,79.5551026492,4.64717502669,825
2008,CF,5.4,1,274.348872817,4.79601600312,36
2009,CF,5.6,1.8,280.715008612,4.78627204046,433
2010,CF,5.9,2,297.314293731,4.78841949498,657
2011,CF,6.1,2.2,305.362596856,4.77921589058,513
2012,CF,6.4,3,306.665242937,4.77516760178,507
2013,CF,6.6,3.5,317.133628512,4.76624224914,558
2008,TD,4.3,1.19,315.856616978,4.63153236908,35
2009,TD,4.5,1.5,327.541111351,4.61912010833,507
2010,TD,4.7,1.7,345.743780618,4.62576324537,846
2011,TD,4.9,1.9,356.67754571,4.5946342415700006,886
2012,TD,5.1,2.10000000005453,369.217462652,4.5740249639899995,899
2013,TD,5.3,2.3,379.679800627,4.550655663,924
2008,CL,24.2,37.3,771.036150531,4.26079900424,4209
2009,CL,24.7,41.56,782.186125752,4.22843483656,62665
2010,CL,25.1,45,788.623243827,4.19738540416,113105
2011,CL,25.6,52.2496072877744,786.695574247,4.19758587972,164173
2012,CL,26.1,55.05,774.2190131,4.20427556542,292436
2013,CL,26.5,58,767.819710518,4.20598600718,265344
2008,CN,3.9,22.6,26202.3800181,3.8679337009,6786
2009,CN,4.1,28.9,24862.0783838,3.87379787557,39980
2010,CN,4.4,34.3,23439.8525312,3.8796431154500004,54306
2011,CN,4.7,38.3,22025.2836326,3.8441046532,67289
2012,CN,5,42.3001174855995,20642.6946429,3.8102215843700002,195683
2013,CN,5.2,45.8,19829.5499515,3.77605948416,234585
2008,CO,18.7,25.6,18075.0564552,2.51661478685,675
2009,CO,19.1,30,18609.6649798,2.4703033361899998,11082
2010,CO,19.5,36.5,17994.5927956,2.42578414323,15439
2011,CO,20,40.3509157546318,17299.4569674,2.41787211945,14754
2012,CO,20.4,48.98,17052.9724977,2.40865101894,26858
2013,CO,20.9,51.7,16666.6860609,2.40012292767,26658
2008,KM,5.7,3,45.546201219,3.7029861170800005,36
2009,KM,5.9,3.5,46.5321932364,3.6966637848,265
2010,KM,6.2,5.1,47.8001202739,3.6863463075399996,260
2011,KM,6.4,5.5,49.8200214408,3.6913051985000003,178
2012,KM,6.7,5.97529630842855,51.2990709963,3.69546891474,188
2013,KM,6.9,6.5,52.3951796518,3.70314728339,201
2008,CG,7.1,4.28750990276481,181.656672866,4.71237369155,120
2009,CG,7.4,4.5,183.856599614,4.69468196216,1254
2010,CG,7.7,5,182.26486032,4.68601038005,1262
2011,CG,8,5.6,179.70219005,4.65965784491,1384
2012,CG,8.3,6.10669502435836,188.975243617,4.63675096061,1833
2013,CG,8.6,6.6,192.784230938,4.61407345066,1792
2008,CR,20,32.29,333.438610955,3.11823933499,198
2009,CR,20.7,34.33,352.436081558,3.1265706144200003,2612
2010,CR,21.4,36.5,367.460615762,3.12702707643,4575
2011,CR,22.2,39.2121959961842,372.505566764,3.12457561093,7248
2012,CR,22.9,47.5,375.571724417,3.13147707277,15534
2013,CR,23.6,45.96,382.688649866,3.12326942625,13426
2008,CI,7.2,1.9,397.23007151,3.73421460674,59
2009,CI,7.6,2,407.884139883,3.73893909229,622
2010,CI,7.9,2.7,419.739975678,3.7383190562300004,797
2011,CI,8.3,2.9,437.051982049,3.7555131580100003,664
2012,CI,8.7,5,459.806760509,3.7714073490100004,940
2013,CI,9,8.4,475.738767288,3.7853007022,907
2008,HR,20.7,44.24,80.1027622571,3.12018249019,757
2009,HR,21.1,50.58,76.7387515904,3.1023485865800002,11930
2010,HR,21.6,56.55,73.8870339342,3.08437243713,21182
2011,HR,22,57.7899789891444,71.1262355644,3.08050572536,24252
2012,HR,22.5,61.9399731527956,68.8767630598,3.0830154283,40544
2013,HR,22.9,66.7476,66.0702947713,3.0869093268000003,34937
2008,CU,20.8,12.94,609.899119428,4.053702165370001,242
2009,CU,21.2,14.33,614.191600275,4.016571078939999,2464
2010,CU,21.7,15.9,619.975328444,3.9838872488900003,3477
2011,CU,22.2,16.0172907996413,623.943976851,3.9746702009,3866
2012,CU,22.6,21.2,639.704554916,3.9602638086099997,5829
2013,CU,23.1,27.93,642.535930289,3.95305567975,6177
2008,CY,19.1,42.31,17.8303639727,3.53207447352,420
2009,CY,19.4,49.81,17.836836434,3.51697678637,7887
2010,CY,19.8,52.99,17.5778181144,3.5134395712999997,10637
2011,CY,20.1,56.8598923503507,17.3326607031,3.51703517346,10788
2012,CY,20.4,60.6898684001903,16.9971625315,3.53822816817,8395
2013,CY,20.7,65.4548,17.05084713,3.5424017898000004,4866
2008,CZ,23.2,62.97,169.010275196,3.0345346653,3517
2009,CZ,23.6,64.43,165.329627575,3.02352813526,48319
2010,CZ,23.9,68.82,161.202803243,3.0132777539,77423
2011,CZ,24.2,70.49,155.522334816,3.00431186451,94705
2012,CZ,24.5,73.4300078241036,151.052320331,2.99378767961,150812
2013,CZ,24.9,74.1104,145.64906847,2.98832035601,123153
2008,DK,16.7,85.02,60.3207256984,3.4748517798500003,17060
2009,DK,17.1,86.84,57.9978662519,3.45525762915,235401
2010,DK,17.4,88.72,55.4580255579,3.43970157587,310427
2011,DK,17.8,89.8100133895232,52.9858070819,3.4357049017,314904
2012,DK,18.1,92.2600117153012,48.9526909232,3.4395875879199997,312829
2013,DK,18.5,94.6297,47.381296366,3.43736283282,184325
2008,DJ,11.2,2.26,63.4099258989,4.1252072682900005,148
2009,DJ,11.5,4,65.3686568065,4.12066797751,1853
2010,DJ,11.8,6.5,66.8905618795,4.11208591428,1848
2011,DJ,12,7,68.1731566476,4.1106399175499995,2073
2012,DJ,12.3,8.26723289204519,69.3129977311,4.11275471993,2617
2013,DJ,12.6,9.5,70.3274114717,4.11948851372,1854
2008,DM,23.4,41.16,5.89858295035,3.1758353485499997,17
2009,DM,23.9,42.02,6.3272305882,3.17148406048,195
2010,DM,24.5,47.45,6.53543385097,3.1702122745300003,264
2011,DM,25,48.6,6.81659980823,3.17885855619,348
2012,DM,25.6,49.8,6.8759218007,3.18711124337,512
2013,DM,26.2,51,7.10803053332,3.1956661624400002,724
2008,DO,21.5,20.82,1273.17525268,3.5178023389699997,292
2009,DO,22.2,27.72,1323.79857763,3.51049850335,2560
2010,DO,23,31.4,1360.84831825,3.5055900232800004,3262
2011,DO,23.8,38,1371.80685956,3.49130742047,3814
2012,DO,24.5,42.32,1400.13438652,3.47480260137,7533
2013,DO,25.3,45.9,1401.94161557,3.46330132584,5488
2008,EC,16.4,18.8,2571.37516555,3.2622359608699996,133
2009,EC,16.8,24.6,2519.50835069,3.2599341528699997,1644
2010,EC,17.2,29.03,2465.15183754,3.2639639791599997,2563
2011,EC,17.6,31.3668083587433,2393.23214404,3.26836214581,3868
2012,EC,18.1,35.1351464545516,2296.90912628,3.2662456946100002,21057
2013,EC,18.5,40.279121941,2212.7172479,3.2730360585300002,30403
2008,EG,26.7,18.01,559.565307636,3.43502381614,118
2009,EG,27.4,20,606.438525093,3.43635171144,2319
2010,EG,28,21.6,610.79089172,3.44052534174,4222
2011,EG,28.6,25.6,618.64409957,3.4564959717500003,4187
2012,EG,29.3,26.4,624.109117412,3.4670351822599996,9838
2013,EG,30,29.4,617.255756603,3.4863451763,13745
2008,SV,20,10.08,3614.37837256,3.33202106589,162
2009,SV,20.6,12.11,3685.42396593,3.32369857117,1469
2010,SV,21.1,15.9,3676.39801869,3.3204365624,3057
2011,SV,21.7,18.9,3625.12064509,3.32306035628,3399
2012,SV,22.2,20.3213877242007,3470.29250216,3.32221857521,4631
2013,SV,22.8,23.1093,3285.63317817,3.31994098708,3596
2008,GQ,5.8,1.82,26.8150299646,4.65172699586,22
2009,GQ,6,2.13,28.722692381,4.65538119381,274
2010,GQ,6.3,6,28.2582647933,4.6583604844,300
2011,GQ,6.5,11.5,27.1862297812,4.64775557932,302
2012,GQ,6.8,13.9431821913076,27.0738803677,4.655694159229999,248
2013,GQ,7.1,16.4,26.8490205878,4.6545333496,224
2008,ER,3.4,0.47,363.97709333,4.3862537744,27
2009,ER,3.5,0.54,370.922799314,4.37591927925,286
2010,ER,3.7,0.61,381.876249334,4.37640617023,338
2011,ER,3.9,0.7,388.23860728,4.37209615804,339
2012,ER,4.1,0.8,398.483859011,4.36668422401,496
2013,ER,4.3,0.9,407.549111303,4.3660335403,281
2008,EE,19.1,70.58,109.028495868,4.5061383509,1129
2009,EE,19.4,72.5,98.9322402784,4.44713925565,12504
2010,EE,19.6,74.1,86.8358628714,4.39682322168,18924
2011,EE,19.9,76.5,83.1104008594,4.36754301433,27714
2012,EE,20.1,78.3899259259259,81.0923516268,4.34002813076,43259
2013,EE,20.4,80.0043,72.3504707102,4.31297797058,34797
2008,ET,2.9,0.45,8127.6190715,4.496790122589999,92
2009,ET,3.1,0.54,8414.51421379,4.47999577575,1097
2010,ET,3.3,0.75,8699.43801954,4.46753194368,1390
2011,ET,3.4,1.1,8913.68741015,4.44930684768,1444
2012,ET,3.6,2.9,9082.34794939,4.43570074409,1887
2013,ET,3.8,4.6,9230.2680013,4.4131753283099995,1238
2008,FJ,25.4,13,42.4667535051,3.4360441666600003,132
2009,FJ,26,17,42.1255901789,3.4342739222999996,1326
2010,FJ,26.5,20,42.3413263492,3.4327181427,1691
2011,FJ,27.1,28,42.0065591336,3.4300870902100002,2070
2012,FJ,27.7,33.7423567521104,43.0325864281,3.42539399309,3058
2013,FJ,28.3,37.1,43.9144609954,3.42355073603,2419
2008,FI,19.3,83.67,115.253905464,5.38409102486,11794
2009,FI,19.6,82.49,111.169964812,5.37723942259,118001
2010,FI,20,86.89,106.625041957,5.36928524642,146886
2011,FI,20.3,88.70999491353,101.566298512,5.3340446213,168954
2012,FI,20.7,89.879997974222,96.0787371722,5.30511349824,222359
2013,FI,21.1,91.5144,91.3383835898,5.27956014818,148457
2008,FR,18.6,70.68,672.873640797,4.565780237179999,54042
2009,FR,19,71.58,667.947176269,4.6106436111899995,563005
2010,FR,19.3,77.28,658.776654241,4.63729391536,655541
2011,FR,19.7,77.8199989926706,649.304544111,4.6186176218499995,632965
2012,FR,20.1,81.44,643.29070193,4.59281894324,698733
2013,FR,20.4,81.9198,633.666496569,4.57975560545,445582
2008,GA,12.1,6.21,75.6178967642,4.67694791085,36
2009,GA,12.5,6.7,77.7739487528,4.65749441899,391
2010,GA,12.8,7.23,75.8490728563,4.64194585359,521
2011,GA,13.2,8,77.404515463,4.63156083668,545
2012,GA,13.5,8.61671448924674,78.6015593446,4.6267210488599995,714
2013,GA,13.9,9.2,79.7469586161,4.61333012741,783
2008,GM,7.3,6.88,20.8831426112,4.71674386809,34
2009,GM,7.6,7.63,21.29490694,4.68952246606,256
2010,GM,8,9.2,21.4740049254,4.67175926618,284
2011,GM,8.4,10.8703,21.838953832,4.67388027393,265
2012,GM,8.7,12.4492287209242,22.3586365773,4.68370845995,385
2013,GM,9.1,14,22.8696082193,4.69254080861,350
2008,GE,17.1,10.01,177.294988536,3.05909181761,82
2009,GE,17.6,20.07,167.510816538,3.06310813731,1288
2010,GE,18.2,26.9,166.770873352,3.06170047158,2608
2011,GE,18.7,31.52,162.016203855,3.0576877632599997,4145
2012,GE,19.3,36.94,156.088084196,3.06261112496,7608
2013,GE,19.9,43.3,159.706841338,3.0589235089,15468
2008,DE,19.2,78,759.389971332,4.17229055757,71242
2009,DE,19.5,79,745.097963488,4.16574169781,789652
2010,DE,19.9,82,733.080494337,4.16256143818,887981
2011,DE,20.3,81.26999953602,714.031038336,4.1662434588,802097
2012,DE,20.7,82.3499984738392,694.6838215,4.17165603881,922233
2013,DE,21.1,84.17,687.9262553,4.18468932687,645492
2008,GH,8,4.27,944.087202981,3.92458504692,59
2009,GH,8.4,5.44,958.711946842,3.92694997151,839
2010,GH,8.7,7.8,973.934490671,3.9200116658899997,711
2011,GH,9.1,9,988.982569746,3.9213394925,683
2012,GH,9.4,10.6,998.367974306,3.91930041964,746
2013,GH,9.8,12.3,1005.14214082,3.91527427794,776
2008,GR,21.6,38.2,127.49842916,4.6712533588800005,1600
2009,GR,22,42.4,130.852013416,4.65763609097,21862
2010,GR,22.4,44.4,132.655588013,4.6431658886200005,40118
2011,GR,22.8,51.6499951676815,133.700336346,4.6196795207,50687
2012,GR,23.2,55.0699934418411,132.440809956,4.58454990336,78643
2013,GR,23.6,59.8663,127.303782173,4.559169048399999,60063
2008,GD,17.1,23.18,7.06977953348,3.3459316090600004,43
2009,GD,17.6,24.05,7.39031669517,3.33249158044,336
2010,GD,18.1,27,7.62128096945,3.32216485789,394
2011,GD,18.6,30,7.68902287075,3.32116717769,327
2012,GD,19.1,32,7.59472730762,3.3208142570000003,504
2013,GD,19.6,35,7.64268499913,3.32129302389,424
2008,GT,16.8,8.3,5787.42377072,3.72923159148,184
2009,GT,17.3,9.3,5868.8930853,3.6959126097799997,2127
2010,GT,17.8,10.5,5835.2073761,3.66986239908,3454
2011,GT,18.4,12.3,5654.68259004,3.64211263088,3890
2012,GT,18.9,16,5512.02555572,3.6171551670400004,7401
2013,GT,19.5,19.7,5490.88059837,3.58997378233,8025
2008,GN,5.4,0.92,295.531631305,4.06429604783,18
2009,GN,5.6,0.94,308.379874563,4.063773793509999,204
2010,GN,5.9,1,323.78245031,4.06715087433,189
2011,GN,6.2,1.3,331.927405865,4.06611641605,236
2012,GN,6.4,1.49014436571885,340.871678789,4.07001611734,302
2013,GN,6.7,1.6,352.574380085,4.0667678914100005,339
2008,GW,6.6,2.35488871087933,105.236920241,4.16725345625,20
2009,GW,6.9,2.30328059172582,108.106445124,4.1764876083499995,278
2010,GW,7.2,2.45,110.609566823,4.18468749466,225
2011,GW,7.6,2.672,111.207700823,4.18165057861,174
2012,GW,7.9,2.89399062085531,111.989265247,4.18616137272,450
2013,GW,8.3,3.1,115.230652068,4.18428805294,416
2008,GY,15.8,18.2,146.117442928,5.01257818763,26
2009,GY,16.3,23.9,146.232903207,5.02048482279,193
2010,GY,16.8,29.9,148.5485587,5.02808867665,391
2011,GY,17.4,31,150.091840241,5.00291187179,377
2012,GY,17.9,33,147.593812532,4.9767321354,524
2013,GY,18.4,35,147.715100727,4.9522347597300005,337
2008,HT,16.2,7.6,661.821884109,3.5998075094199997,63
2009,HT,16.9,8.1,672.981426109,3.59872824979,846
2010,HT,17.7,8.37,692.911299693,3.5991248335800003,1132
2011,HT,18.6,9,709.143008795,3.59305623799,883
2012,HT,19.4,9.8,727.166134362,3.59668148543,1604
2013,HT,20.2,10.6,742.412908708,3.5941011459700003,1488
2008,HN,16.7,9.6,2331.41618241,3.01389095344,59
2009,HN,17.2,9.8,2449.2863869,3.01640073398,744
2010,HN,17.8,11.09,2535.97510978,3.02627637202,1926
2011,HN,18.4,15.9,2569.88730885,3.0268612850300003,2231
2012,HN,19,18.12,2607.25312688,3.02731027734,3464
2013,HN,19.5,17.8,2643.16537487,3.0258348078,3335
2008,HU,22.6,61,240.534108267,3.09703092111,2951
2009,HU,23.1,62,229.80027274,3.07901491553,46381
2010,HU,23.5,65,220.060988078,3.06221812758,86838
2011,HU,24,68.0199878861296,214.034361944,3.0558145709,91013
2012,HU,24.5,70.579998153838,208.304289065,3.06085330416,129426
2013,HU,25,72.6439,201.187125783,3.0596316048000003,102969
2008,IS,18.9,91,2.50452461585,3.59549792795,1355
2009,IS,19.2,93,2.46668291158,3.5864288250099996,14839
2010,IS,19.6,93.39,2.43114687727,3.5822819776999997,20821
2011,IS,20,94.8196868008949,2.40451024053,3.58571083635,19314
2012,IS,20.3,96.2097995545657,2.38921701601,3.5780469920899995,21746
2013,IS,20.7,96.5468,2.40085361554,3.58271487006,12941
2008,IN,2.5,4.38,48367.0759672,3.98331513771,1737
2009,IN,2.7,5.12,47771.2453447,3.91772109377,35521
2010,IN,2.8,7.5,47212.1990026,3.8547590052499996,62712
2011,IN,3,10.07,46751.0416719,3.8519381560899997,142258
2012,IN,3.1,12.5800609138955,45870.2265198,3.8500609789,230056
2013,IN,3.3,15.1,46978.1190906,3.85014045288,191083
2008,ID,4.3,7.91747938492903,4632.73766371,2.88016677244,126
2009,ID,4.6,6.92,4589.03134216,2.87356607186,3215
2010,ID,4.9,10.92,4537.35341583,2.86925724701,5242
2011,ID,5.2,12.28,4470.22257299,2.8765055554,8779
2012,ID,5.5,14.52,4470.64002798,2.88315836412,106902
